title,reading,reading_raw,language,meaning,object,type_object,material,date,sortdate,date_derivation,site,field_name,location,position,direction,script,alphabet,line_number,letter_number_min,letter_number_max,sign_number,craftsmanship,condition,sigla_tm,sigla_pid,sigla_mancini,sigla_mlr,source,object_source,checklevel,object_checklevel,problem,revision_id,revision_timestamp,object_revision_id,object_revision_timestamp,url,object_url
PA-1,eθsualeuθikukaial·/nakinaθarisakvil·,esθuale!eθsuale utiku!uθiku kaial!kaial· / )s!nakinaθaris aχvil!akvil·,Raetic,'by/of Etsu* (?) ? for ? a gift',PA-1 spatula,spatula,bronze,6th–5th centuries BC,-500,typology,Padova,courtyard of the convent Sant'Antonio,Musei Civici di Padova – Museo Archeologico,"back, left-hand side, right-hand side",sinistroverse,North Italic script,Magrè alphabet,2,33,,35,embossed,"complete, damaged",218512,244,PA-1,80 (a + b),"Schumacher 2004: 170, 340","Tombolani 1976: 196–197 [No. 33], pl. 36 A (recto); Gregnanin 2000: 157–159, fig. 277a (recto), fig. 277b (verso)",1,5,Literatur,18086,2021-11-23T20:30:30Z,14014,2015-11-03T08:14:13Z,https://tir.univie.ac.at/wiki/PA-1,https://tir.univie.ac.at/wiki/PA-1_spatula
PU-1,χa?φelzurieskalahepruśiahil(?)/klu?θurus,)unknown!χa? φelzuries unknown!kalahepruśiahil(?) / klu?θurus,Raetic,unknown,PU-1 girdle plate,girdle plate,bronze,beginning of the 5th century BC,-475,typology,Lothen / Campolino,Burgkofel,Museum Mansio Sebatum,back,dextroverse,North Italic script,Magrè alphabet,2,36,,,engraved,"complete, damaged",218543,,SLO-1,22,Schumacher 2004: 186,"Lunz 1981: 201, fig. 86; Dal Rì 1987: 177–178 (No. 730), fig. 304; Morandi 1999: 49-51 (No. 7); Steiner 2011b: 598–599",4,3,"Zeilenlänge (Pellegrini/Mancini), -śi vgl. AS-2, etr. Turus (Pell p. 15), ist dextrovers archaisch (Vetter)?",17915,2021-11-08T19:20:40Z,16892,2016-11-22T18:38:28Z,https://tir.univie.ac.at/wiki/PU-1,https://tir.univie.ac.at/wiki/PU-1_girdle_plate
PU-10,]?ṇịẹχ̣,unknown!]?ṇịẹχ̣,unknown,unknown,PU-10 potsherd,vessel,pottery,5th–4th centuries BC,-400,archaeological context,St. Lorenzen / San Lorenzo di Sebato,"Steger,",Museum Mansio Sebatum,"bottom, outside",sinistroverse,unknown,,1,,,4,incised,"damaged, fragmentary",218552,,SLO-9,134,"Schumacher 2004: 188, 213","Marinetti 1992: 697 [No. 6], fig. 1.6; Constantini 2002: 41",0,5,,17924,2021-11-08T19:22:42Z,16862,2016-11-15T11:19:40Z,https://tir.univie.ac.at/wiki/PU-10,https://tir.univie.ac.at/wiki/PU-10_potsherd
PU-11,kụa,unknown!kụa,unknown,unknown,PU-11 stone,unidentifiable,stone,5th–4th centuries BC,-400,archaeological context,St. Lorenzen / San Lorenzo di Sebato,"Steger,",Museum Mansio Sebatum,,dextroverse,unknown,,1,,,3,engraved,complete,653565,,SLO-10,135,Schumacher 2004: 326,"Marinetti 1992: 697–698 [No. 7], fig. 2; Constantini 2002: 41",0,5,,17925,2021-11-08T19:23:16Z,16860,2016-11-15T11:19:02Z,https://tir.univie.ac.at/wiki/PU-11,https://tir.univie.ac.at/wiki/PU-11_stone
PU-2,iθi/iθiθi,unknown!iθi / unknown!iθiθi,none,unknown,PU-2 loom weight,loom weight,pottery,5th–3rd centuries BC,-350,archaeological context,St. Lorenzen / San Lorenzo di Sebato,Sonnenburger Weinleite,Amt für Bodendenkmäler Bozen / Ufficio Beni archeologici Bolzano,"front, lateral",unknown,none,,2,,,,engraved,damaged,218544,,SLO-3,137,Schumacher 2004: 187,Mayr 1954: 552–553 with photo; Schumacher 2004: 186–187,0,5,,17916,2021-11-08T19:20:52Z,17446,2020-04-07T21:16:56Z,https://tir.univie.ac.at/wiki/PU-2,https://tir.univie.ac.at/wiki/PU-2_loom_weight
PU-3,?,?,unknown,unknown,PU-3 loom weight,loom weight,schist,late 6th–4th centuries BC,-410,archaeological context,St. Lorenzen / San Lorenzo di Sebato,Puenland,Amt für Bodendenkmäler Bozen / Ufficio Beni archeologici Bolzano,"top, bottom, lateral",unknown,unknown,,0,,,1,engraved,damaged,218545,,SLO-11,sub iudice nr. 8,Schumacher 2004: 187,Dal Rì 1987: 178 (No. 732); Constantini 2002: 22,1,5,trennen?? irgendwas in die translit?,17917,2021-11-08T19:21:02Z,16859,2016-11-15T11:02:34Z,https://tir.univie.ac.at/wiki/PU-3,https://tir.univie.ac.at/wiki/PU-3_loom_weight
PU-4,χarse,χarse,Raetic,'Χarse' (PN) (?),PU-4 plaque,plaque,schist,5th century BC,-450,archaeological context,St. Lorenzen / San Lorenzo di Sebato,near the Roman site,Amt für Bodendenkmäler Bozen / Ufficio Beni archeologici Bolzano,front,sinistroverse,North Italic script,Magrè alphabet,1,5,,,engraved,complete,218546,,SLO-2,138,Schumacher 2004: 187,"Dal Rì 1987: 178 (No. 733), fig. 306; Constantini 2002: 48",3,5,"position, seiteninschrift extra?, eingeschlagen?",17918,2021-11-08T19:21:19Z,16857,2016-11-15T10:49:44Z,https://tir.univie.ac.at/wiki/PU-4,https://tir.univie.ac.at/wiki/PU-4_plaque
PU-5,ṿakụ,ṿakụ,unknown,unknown,PU-5 bone,unidentifiable,bone,5th–4th centuries BC,-400,archaeological context,St. Lorenzen / San Lorenzo di Sebato,Steger,unknown,centre,dextroverse,unknown,,1,4,,,engraved,unknown,218547,,SLO-4,130,"Schumacher 2004: 187, 212","Marinetti 1992: 692–693 [No. 1], fig. 1.1; Constantini 2002: 41",0,5,,17919,2021-11-08T19:21:31Z,16866,2016-11-15T11:21:02Z,https://tir.univie.ac.at/wiki/PU-5,https://tir.univie.ac.at/wiki/PU-5_bone
PU-6,]ạụṃ(?)e,unknown!]ạụṃ(?)e,unknown,unknown,PU-6 bone,unidentifiable,bone,5th–4th centuries BC,-400,archaeological context,St. Lorenzen / San Lorenzo di Sebato,Steger,unknown,centre,sinistroverse,unknown,,1,5,,,engraved,unknown,218548,,SLO-5,131,"Schumacher 2004: 188, 212 f.","Marinetti 1992: 693–694 [No. 2], fig. 1.2; Constantini 2002: 41",0,5,,17920,2021-11-08T19:22:00Z,16864,2016-11-15T11:20:16Z,https://tir.univie.ac.at/wiki/PU-6,https://tir.univie.ac.at/wiki/PU-6_bone
PU-7,?,?,unknown,unknown,PU-7 bone,unidentifiable,bone,5th–4th centuries BC,-400,archaeological context,St. Lorenzen / San Lorenzo di Sebato,Steger,unknown,centre,ambiguous,unknown,,1,,,,engraved,unknown,218549,,SLO-6,132,"Schumacher 2004: 188, 213","Marinetti 1992: 695–696 [No. 3], fig. 1.3; Constantini 2002: 41",0,5,,17921,2021-11-08T19:22:11Z,16865,2016-11-15T11:20:41Z,https://tir.univie.ac.at/wiki/PU-7,https://tir.univie.ac.at/wiki/PU-7_bone
