title,type_object,material,date,sortdate,date_derivation,site,field_name,location,inventory_number,dimension,condition,source,checklevel,revision_id,revision_timestamp,url
VN-13 bone,unidentifiable,bone,3rd–1st centuries BC,-150,archaeological context,Schluderns / Sluderno,Ganglegg,Vintschger Museum / Museo della Val Venosta,G 97.844,"length: 7.3 cm, width: 2.2 cm, height: 1.5 cm",fragmentary,"Steiner & Gamper 1999: 154–155, fig. 9.12; Schumacher 2004: 323–324, fig. 13.5; Gamper 2006: 158, fig. 87.8",5,13593,2015-09-21T12:18:50Z,https://tir.univie.ac.at/wiki/VN-13_bone
VN-14 bone,unidentifiable,bone,3rd–1st centuries BC,-150,archaeological context,Schluderns / Sluderno,Ganglegg,Vintschger Museum / Museo della Val Venosta,,"length: 4.5 cm, width: 2.2 cm, height: 1.1 cm",fragmentary,"Schumacher 2004: 324, pl. 13.6",5,13594,2015-09-21T12:22:42Z,https://tir.univie.ac.at/wiki/VN-14_bone
VN-15 bone,unidentifiable,bone,3rd–1st centuries BC,-150,archaeological context,Schluderns / Sluderno,Ganglegg,Vintschger Museum / Museo della Val Venosta,,"length: 5.8 cm, width: 2.1 cm, height: 1.6 cm",fragmentary,"Schumacher 2004: 323–324, 361 pl. 13.7",5,13595,2015-09-21T12:24:29Z,https://tir.univie.ac.at/wiki/VN-15_bone
VN-16 bone point,bone,bone,last decade of the 2nd–1st centuries BC,-55,"archaeological context, natural science",Schluderns / Sluderno,"Ganglegg,",Vintschger Museum / Museo della Val Venosta,G 2001.211,"length: 9.5 cm, width: 1.3 cm, height: 6.5 mm",fragmentary,"Gamper 2006: 125–129, fig. 63.13",0,16718,2016-05-23T05:28:40Z,https://tir.univie.ac.at/wiki/VN-16_bone_point
VN-17 bone,handle,bone,3rd–1st centuries BC,-150,archaeological context,Schluderns / Sluderno,"Ganglegg,",Vintschger Museum / Museo della Val Venosta,G 2011.44,"length: 6.5 cm, width: 1.2 cm, height: 6 mm",fragmentary,unpublished,5,13597,2015-09-21T12:30:51Z,https://tir.univie.ac.at/wiki/VN-17_bone
VN-18 bone point,bone,bone,2nd half of the 2nd–1st centuries BC,-75,archaeological context,Schluderns / Sluderno,"Ganglegg,",Vintschger Museum / Museo della Val Venosta,G 97/207a,"length: 12.7 cm, width: 1.2 cm, height: 6 mm",complete,"Steiner & Gamper 1999: pl. 9.7; Gamper 2006: 134–137, fig. 73.3",0,15418,2016-03-14T12:40:59Z,https://tir.univie.ac.at/wiki/VN-18_bone_point
VN-19 bone,unidentifiable,bone,3rd–1st centuries BC,-150,archaeological context,Schluderns / Sluderno,"Ganglegg,",Vintschger Museum / Museo della Val Venosta,1999/985,"length: 9.4 cm, width: 2.4 cm, height: 1 cm",fragmentary,Gamper 2000: fig. 12.5; Gamper 2006: fig. 149.8,5,13599,2015-09-21T12:36:50Z,https://tir.univie.ac.at/wiki/VN-19_bone
VN-2 bone,unidentifiable,bone,3rd–1st centuries BC,-150,archaeological context,Schluderns / Sluderno,Ganglegg,Vintschger Museum / Museo della Val Venosta,none,"length: 3.6 cm, width: 1.1 cm, height: 7 mm",fragmentary,"Schubert 1992: 446, fig. 4.1; Schumacher 2004: 177, 208, pl. 3.1",5,13846,2015-09-30T07:30:25Z,https://tir.univie.ac.at/wiki/VN-2_bone
VN-3 bone,unidentifiable,bone,3rd–1st centuries BC,-150,archaeological context,Schluderns / Sluderno,Ganglegg,Vintschger Museum / Museo della Val Venosta,,"length: 4.8 cm, width: 1.4 cm, height: 9 mm",fragmentary,"Schubert 1992: 446, fig. 4.2; Schumacher 2004: 177, 208–209, pl. 3.2",5,13583,2015-09-18T11:22:33Z,https://tir.univie.ac.at/wiki/VN-3_bone
VN-4 bone,unidentifiable,bone,3rd–1st centuries BC,-150,archaeological context,Schluderns / Sluderno,Ganglegg,Vintschger Museum / Museo della Val Venosta,,"length: 10.2 cm, width: 1.8 cm, height: 1.7 cm","complete, damaged","Gamper & Steiner 1999: 48–51, fig. 24.6; Schumacher 2004: 178, 209, pl. 3.3",5,13584,2015-09-18T11:25:39Z,https://tir.univie.ac.at/wiki/VN-4_bone
VN-5 bone,unidentifiable,bone,3rd–1st centuries BC,-150,archaeological context,Schluderns / Sluderno,Ganglegg,Vintschger Museum / Museo della Val Venosta,,"length: 11.9 cm, width: 2.4 cm, height: 1.6 cm",complete,"Gamper & Steiner 1999: 48–51, fig. 24.8",5,13585,2015-09-18T11:30:23Z,https://tir.univie.ac.at/wiki/VN-5_bone
