Trismegistos;CIE;Rix. ET1;Meiser. ET2;TLE;Bakkum;CIL I;CIL I(2);CIL III;CIL VI;CIL XI;CII;CII Suppl.;CII App.;Multiple references?;Notes;Credits;Edit log
TM 150084;CIE 03034;ET1 Cl 1.0912;ET2 Cl 1.0912;;;;;;;;;CII Suppl. III.0109;CII App. 0342;Multiple references. Common denominator: Trismegistos. ET1. ET2. CII Suppl. CII App. (2);;;
TM 151813;CIE 03035;ET1 Cl 1.2642;ET2 Cl 1.2642;;;CIL I.1395;CIL I(2).2018;;;CIL XI.2372;CII 0857;;;;;;v 1.0.3: added CIL I(2) reference. Removed information from the “multiple references” field.
;CIE 03036;;;;;;;;;CIL XI.2372 sub;CII 0857 sub;;;;Considered a forgery based on CIE 03035 (see CIE).;;v 1.0.3: Removed Trismegistos reference. changed CIL XI and CII references to add “sub”. Removed information from the “multiple references” field. 
TM 151814;CIE 03037;ET1 Cl 1.2643;ET2 Cl 1.2643;;;;;;;;;CII Suppl. I.0188;;;;;
TM 151769;CIE 03038;ET1 Cl 1.2598;ET2 Cl 1.2598;;;;;;;;;CII Suppl. III.0212;CII App. 0179;;;;
TM 148445;CIE 03039;ET1 Vt 1.0033;ET2 Vt 1.0033;;;;;;;;CII 1027;;;;;;
TM 151818;CIE 03040;ET1 Cl 1.2647;ET2 Cl 1.2647;;;;;;;;;;;;;;
TM 151819;CIE 03041;ET1 Cl 1.2648;ET2 Cl 1.2648;;;;;;;;CII 0601 bis g;;;;;;
TM 151820;CIE 03042;ET1 Cl 1.2649;ET2 Cl 1.2649;;;;;;;;CII 0598;;;Multiple references. Common denominator: Trismegistos. ET1. CII. (2);;;
TM 151821;CIE 03043;ET1 Cl 1.2650;ET2 Cl 1.2650;;;;;;;;;;;;;;
TM 151822;CIE 03044;ET1 Cl 1.2651;ET2 Cl 1.2651;;;;;;;;CII 0601;;;;;;
TM 151823;CIE 03045;ET1 Cl 1.2652;ET2 Cl 1.2652;;;;;;;;CII 0601 bis f;;;;;;
;CIE 03046;;;;;;;;;;;CII Suppl. I.0233 bis;;;Considered a possible forgery based on CIE 3045 (see CIE).;;
TM 151828;CIE 03047;ET1 Cl 1.2657;ET2 Cl 1.2657;;;;;;;;;;;;;;
TM 151830;CIE 03048;ET1 Cl 1.2659;ET2 Cl 1.2659;;;;;;;;CII 0601 bis i;;;;;;
TM 151831;CIE 03049;ET1 Cl 1.2660;ET2 Cl 1.2660;;;;;;;;CII 0600;;;;;;
TM 151824;CIE 03050;ET1 Cl 1.2653;ET2 Cl 1.2653;;;;;;;;CII 0601 bis k;;;;;;
TM 151832;CIE 03051;ET1 Cl 1.2661;ET2 Cl 1.2661;;;;;;;;;;;;;;
TM 151834;CIE 03052;ET1 Cl 1.2663;ET2 Cl 1.2663;;;;;;;;CII 0123;;;;;;
TM 151835;CIE 03053;ET1 Cl 1.2664;ET2 Cl 1.2664;;;;;;;;;CII Suppl. II.0065;;;;;
TM 150961;CIE 03054;ET1 Cl 1.1790;ET2 Cl 1.1790;;;;;;;;;CII Suppl. II.0033;;;;;
TM 151840;CIE 03055;ET1 Cl 1.2669;ET2 Cl 1.2669;;;;;;;;;;;;;;
TM 151845;CIE 03056;ET1 Cl 1.2674;ET2 Cl 1.2674;;;;;;;;;;CII App. 0194;;;;
TM 151841;CIE 03057;ET1 Cl 1.2670;ET2 Cl 1.2670;;;;;;;;;CII Suppl. I.0231;;;;;
TM 505065;CIE 03058;;;;;;;;;CIL XI.2354;;;CII App. 0424;;;;
TM 151842;CIE 03059;ET1 Cl 1.2671;ET2 Cl 1.2671;;;;;;;;;;;;;;
TM 151439;CIE 03060;ET1 Cl 1.2268;ET2 Cl 1.2268;;;;;;;;;;;;;;
TM 151440;CIE 03061;ET1 Cl 1.2269;ET2 Cl 1.2269;;;;;;;;;;;;;;
TM 151441;CIE 03062;ET1 Cl 1.2270;ET2 Cl 1.2270;;;;;;;;;;;;;;
TM 510103;CIE 03063;;;;;;;;;CIL XI.7215;;;;;;;
TM 151815;CIE 03064;ET1 Cl 1.2644;ET2 Cl 1.2644;;;;;;;;;;;;;;
TM 150822;CIE 03065;ET1 Cl 1.1650;ET2 Cl 1.1650;;;;;;;;;;;;;;
TM 510102;CIE 03066;;;;;;;;;CIL XI.7214;;;;;;;
TM 150309;CIE 03067;ET1 Cl 1.1137;ET2 Cl 1.1137;;;;;;;;CII 0193;;;;;;
TM 150310;CIE 03068;ET1 Cl 1.1138;ET2 Cl 1.1138;;;;;;;;;CII Suppl. III.0184;;;;;
TM 150311;CIE 03069;ET1 Cl 1.1139;ET2 Cl 1.1139;;;;;;;;;CII Suppl. III.0185;;;;;
TM 150312;CIE 03070;ET1 Cl 1.1140;ET2 Cl 1.1140;;;;;;;;;CII Suppl. III.0183;;;;;
TM 150313;CIE 03071;ET1 Cl 1.1141;ET2 Cl 1.1141;;;;;;;;;CII Suppl. III.0187;;;;;
TM 150314;CIE 03072;ET1 Cl 1.1142;ET2 Cl 1.1142;;;;;;;;;CII Suppl. III.0186;;;;;
TM 150315;CIE 03073;ET1 Cl 1.1143;ET2 Cl 1.1143;;;;;;;;;CII Suppl. III.0188;;;;;
TM 150316;CIE 03074;ET1 Cl 1.1144;ET2 Cl 1.1144;;;;;;;;;CII Suppl. II.0040;;;;;
TM 150317;CIE 03075;ET1 Cl 1.1145;ET2 Cl 1.1145;TLE 0556;;;;;;;;CII Suppl. II.0041;;;;;
TM 150318;CIE 03076;ET1 Cl 1.1146;ET2 Cl 1.1146;;;;;;;;;CII Suppl. II.0037;;;;;
TM 150319;CIE 03077;ET1 Cl 1.1147;ET2 Cl 1.1147;;;;;;;;;CII Suppl. II.0039;;;;;
TM 150320;CIE 03078;ET1 Cl 1.1148;ET2 Cl 1.1148;;;;;;;;;CII Suppl. II.0038;;;;;
TM 150321;CIE 03079;ET1 Cl 1.1149;ET2 Cl 1.1149;;;;;;;;;CII Suppl. II.0048;;;;;
TM 150322;CIE 03080;ET1 Cl 1.1150;ET2 Cl 1.1150;;;;;;;;;CII Suppl. II.0046;;;;;
TM 150323;CIE 03081;ET1 Cl 1.1151;ET2 Cl 1.1151;;;;;;;;;CII Suppl. II.0047;;;;;
TM 150324;CIE 03082;ET1 Cl 1.1152;ET2 Cl 1.1152;;;;;;;;;CII Suppl. II.0044;;;;;
TM 150325;CIE 03083;ET1 Cl 1.1153;ET2 Cl 1.1153;TLE 0560;;;;;;;;CII Suppl. II.0042;;;;;
TM 150326;CIE 03084;ET1 Cl 1.1154;ET2 Cl 1.1154;;;;;;;;;CII Suppl. II.0045;CII App. 0211;Multiple references. Common denominator: Trismegistos. ET1. ET2. CII Suppl. CII App. (2);;;
TM 150327;CIE 03085;ET1 Cl 1.1155;ET2 Cl 1.1155;;;;;;;;;CII Suppl. II.0043;;;;;
TM 151296;CIE 03086;ET1 Cl 1.2125;ET2 Cl 1.2125;;;;;;;;CII 0686;;;;;;
TM 151850;CIE 03087;ET1 Cl 1.2679;ET2 Cl 1.2679;;;;;;;;;;CII App. 0365 c;;;;
TM 150740;CIE 03088;ET1 Cl 1.1568;ET2 Cl 1.1568;TLE 0550;;;;;;;CII 0800;;;;;;
TM 151234;CIE 03089;ET1 Cl 1.2681;ET2 Cl 1.2681;;;;;;;;CII 0168;;;;;;
TM 151853;CIE 03090;ET1 Cl 1.2682;ET2 Cl 1.2682;;;;;;;;CII 2565 bis;;;;;;
TM 150758;CIE 03091;ET1 Cl 1.1586;ET2 Cl 1.1586;;;;;;;;;CII Suppl. I.0206;;Multiple references. Common denominator: Trismegistos. ET1. ET2. CII Suppl. (2);;;
TM 150446;CIE 03092;ET1 Cl 1.1274;ET2 Cl 1.1274;;;;;;;;;CII Suppl. I.0238;;;;;
TM 149110;CIE 03093;ET1 AS 1.0471;ET2 AS 1.0471;;;;;;;;CII 0272;;;;;;
TM 151470;CIE 03094;ET1 Cl 1.2299;ET2 Cl 1.2299;;;;;;;;CII 0839 bis y;;;;;;
TM 151297;CIE 03095;ET1 Cl 1.2126;ET2 Cl 1.2126;;;;;;;;;;;;;;
TM 150505;CIE 03096;ET1 Cl 1.1333;ET2 Cl 1.1333;;;;;;;;;;;;;;
TM 150506;CIE 03097;ET1 Cl 1.1334;ET2 Cl 1.1334;;;;;;;;;;;;;;
TM 151852;CIE 03098;ET1 Cl 1.2063;ET2 Cl 1.2063;;;;;;;;;;CII App. 0233;;;;
TM 150681;CIE 03099;ET1 Cl 1.1509;ET2 Cl 1.1509;;;;;;;;CII 0633 bis a;;;;;;
TM 150688;CIE 03100;ET1 Cl 1.1516;ET2 Cl 1.1516;;;;;;;;;CII Suppl. I.0173 bis n;;;;;
TM 150686;CIE 03101;ET1 Cl 1.1514;ET2 Cl 1.1514;;;;;;;;;;CII App. 0239;;;;
;CIE 03102;;;;;;;;;;;;CII App. 0375 b;;Fragmentary.;;
TM 151516;CIE 03103;ET1 Cl 1.2345;ET2 Cl 1.2345;;;;;;;;;;;;;;
TM 151622;CIE 03104;ET1 Cl 1.2451;ET2 Cl 1.2451;;;;;;;;;;;;;;
TM 150749;CIE 03105;ET1 Cl 1.1577;ET2 Cl 1.1577;;;;;;;;;;;;"Considered suspect (see ET1; ET2).";;
TM 151507;CIE 03106;ET1 Cl 1.2336;ET2 Cl 1.2336;;;;;;;;;CII Suppl. I.0169 d;;;;;
TM 150845;CIE 03107;ET1 Cl 1.1673;ET2 Cl 1.1673;;;;;;;;CII 2624 bis c;;;;;;
TM 151865;CIE 03108;ET1 Cl 1.2694;ET2 Cl 1.2694;;;;;;;;;;;;;;
TM 151015;CIE 03109;ET1 Cl 1.1844;ET2 Cl 1.1844;;;;;;;;;;;;;;
TM 151114;CIE 03110;ET1 Cl 1.1943;ET2 Cl 1.1943;;;;;;;;CII 2628;;;;;;
TM 150408;CIE 03111;ET1 Cl 1.1236;ET2 Cl 1.1236;;;;;;;;CII 0841;;;;;;
TM 151073;CIE 03112;ET1 Cl 1.1902;ET2 Cl 1.1902;;;;;;;;;;CII App. 0250;;;;
TM 151656;CIE 03113;ET1 Cl 1.2485;ET2 Cl 1.2485;;;;;;;;;;CII App. 0257;;;;
TM 151187;CIE 03114;ET1 Cl 1.2016;ET2 Cl 1.2016;;;;;;;;CII 0832 bis;;;;Considered a forgery based on a genuine inscription (see ET2).;;
TM 150357;CIE 03115;ET1 Cl 1.1185;ET2 Cl 1.1185;;;;;;;;;;CII App. 0363;;;;
TM 151223;CIE 03116;ET1 Cl 1.2052;ET2 Cl 1.2052;;;;;;;;CII 0188;;;;;;
TM 151097;CIE 03117;ET1 Cl 1.1926;ET2 Cl 1.1926;;;;;;;;CII 0833;;;;;;
TM 150134;CIE 03118;ET1 Cl 1.0962;ET2 Cl 1.0962;;;;;;;;;;;Multiple references. Common denominator: Trismegistos. ET1. ET2. (2);;;
TM 151312;CIE 03119;ET1 Cl 1.2141;ET2 Cl 1.2141;;;;;;;;;;;;;;
TM 151205;CIE 03120;ET1 Cl 1.2034;ET2 Cl 1.2034;;;;;;;;CII 0277 ter;;;Multiple references. Common denominator: Trismegistos. ET1. ET2. (2);;;
TM 151405;CIE 03121;ET1 Cl 1.2234;ET2 Cl 1.2234;;;;;;;;CII 2570 bis;;;;;;
TM 151451;CIE 03122;ET1 Cl 1.2280;ET2 Cl 1.2280;;;;;;;;;;CII App. 0372;;;;
TM 151557;CIE 03123;ET1 Cl 1.2386;ET2 Cl 1.2386;;;;;;;;;;;;"Considered suspect (see ET1; ET2).";;
TM 151777;CIE 03124;ET1 Cl 1.2606;ET2 Cl 1.2606;;;;;;;;;;;;;;
TM 151849;CIE 03125;ET1 Cl 1.2678;ET2 Cl 1.2678;;;;;;;;;;;;;;
TM 151298;CIE 03126;ET1 Cl 1.2127;ET2 Cl 1.2127;;;;;;;;CII 2624 bis a;CII Suppl. II.0126;;Multiple references. Common denominator: Trismegistos. ET1. ET2. CII. CII Suppl. (2);;CII Burman;
TM 151582;CIE 03127;ET1 Cl 1.2411;ET2 Cl 1.2411;;;;;;;;;;CII App. 0255;;;;
TM 150640;CIE 03128;ET1 Cl 1.1468;ET2 Cl 1.1468;;;;;;;;CII 0839 bis h;;;Multiple references. Common denominator: Trismegistos. CIE. ET2. CII. (2);;;
TM 150640;CIE 03128;ET1 Cl 1.2685;ET2 Cl 1.1468;;;;;;;;CII 0839 bis h;;;Multiple references. Common denominator: Trismegistos. CIE. ET2. CII. (2);;;
TM 151419;CIE 03129;ET1 Cl 1.2248;ET2 Cl 1.2248;;;;;;;;;;;;;;
TM 148558;CIE 03130;ET1 Vt 1.0146;ET2 Vt 1.0146;;;;;;;;;;;;;;
TM 150459;CIE 03131;ET1 Cl 1.1287;ET2 Cl 1.1287;;;;;;;;;CII Suppl. I.0204;;Multiple references. Common denominator: Trismegistos. ET1. ET2. CII Suppl. (2);;;
TM 150717;CIE 03132;ET1 Cl 1.1545;ET2 Cl 1.1545;;;;;;;;;;;;;;
TM 151868;CIE 03133;ET1 Cl 1.2697;ET2 Cl 1.2697;;;;;;;;CII 0839 bis b;;;;;;
TM 150574;CIE 03134;ET1 Cl 1.1402;ET2 Cl 1.1402;;;;;;;;;CII Suppl. I.0203;;Multiple references. Common denominator: Trismegistos. ET1. ET2. CII Suppl. (2);;;
TM 151857;CIE 03135;ET1 Cl 1.2686;ET2 Cl 1.2686;TLE 0548;;;;;;;CII 0734;;CII App. 0356;Multiple references. Common denominator: CII. (2);;;
TM 151642;CIE 03136;ET1 Cl 1.2471;ET2 Cl 1.2471;;;;;;;;CII 0832;;;;;;
TM 150443;CIE 03137;ET1 Cl 1.1271;ET2 Cl 1.1271;;;;;;;;CII 0839 bis q;;;;;;
TM 151886;CIE 03138;ET1 Cl 1.2715;ET2 Cl 1.2715;;;;;;;;;;;;;;
TM 151838;CIE 03139;ET1 Cl 1.2667;ET2 Cl 1.2667;;;;;;;;;;;;;;
TM 150758;CIE 03140;ET1 Cl 1.1586;ET2 Cl 1.1586;;;;;;;;;CII Suppl. I.0206;;Multiple references. Common denominator: Trismegistos. ET1. ET2. CII Suppl. (2);;;
TM 150840;CIE 03141;ET1 Cl 1.1668;ET2 Cl 1.1668;;;;;;;;CII 0597 bis s;;;;;;
TM 151887;CIE 03142;ET1 Cl 1.2716;ET2 Cl 1.2716;;;;;;;;;;;;;;
TM 151825;CIE 03143;ET1 Cl 1.2654;ET2 Cl 1.2654;;;;;;;;;;;;;;
TM 151342;CIE 03144;ET1 Cl 1.2171;ET2 Cl 1.2171;;;;;;;;;CII Suppl. I.0190;;;;;
TM 151343;CIE 03145;ET1 Cl 1.2172;ET2 Cl 1.2172;;;;;;;;;;;;;;
TM 151816;CIE 03146;ET1 Cl 1.2645;ET2 Cl 1.2645;;;;;;;;;;;;;;
TM 151263;CIE 03147;ET1 Cl 1.2092;ET2 Cl 1.2092;;;;;;;;;;CII App. 0283;;;;
TM 151264;CIE 03148;ET1 Cl 1.2093;ET2 Cl 1.2093;;;;;;;;;;;;;;
TM 151873;CIE 03149;ET1 Cl 1.2702;ET2 Cl 1.2702;;;;;;;;;;;;;;
TM 151888;CIE 03150;ET1 Cl 1.2717;ET2 Cl 1.2717;;;;;;;;CII 0839 bis o;;;;;;
TM 151874;CIE 03151;ET1 Cl 1.2703;ET2 Cl 1.2703;;;;;;;;CII 0839;;;;;;
TM 151870;CIE 03152;ET1 Cl 1.2699;ET2 Cl 1.2699;;;;;;;;;CII Suppl. I.0241 a;;;;;
TM 151061;CIE 03153;ET1 Cl 1.1890;ET2 Cl 1.1890;;;;;;;;CII 0740 bis;;;;;;
TM 151755;CIE 03154;ET1 Cl 1.2584;ET2 Cl 1.2584;;;;;;;;;;CII App. 0365 b;;;;
TM 151112;CIE 03155;ET1 Cl 1.1941;ET2 Cl 1.1941;;;;;;;;CII 0839 bis i;;;;;;
TM 151854;CIE 03156;ET1 Cl 1.2683;ET2 Cl 1.2683;;;;;;;;CII 0815;;;;;;
TM 505000;CIE 03157;;;;;;;;;CIL XI.2287;;;;;;;
TM 510099;CIE 03158;;;;;;;;;CIL XI.7212;;;;;;;
TM 505110;CIE 03159;;;;;;;;;CIL XI.2399;;;;;;;
TM 151458;CIE 03160;ET1 Cl 1.2287;ET2 Cl 1.2287;;;;;;;CIL XI.7236;;;CII App. 0896;;;;
TM 151862;CIE 03161;ET1 Cl 1.2691;ET2 Cl 1.2691;;;;;;;;;;;;;;
TM 151013;CIE 03162;ET1 Cl 1.1842;ET2 Cl 1.1842;;;;;;;;;;;;;;
TM 151879;CIE 03163;ET1 Cl 1.2708;ET2 Cl 1.2708;;;;;;;;;;;;;;
TM 151881;CIE 03164;ET1 Cl 1.2710;ET2 Cl 1.2710;;;;;;;;CII 0275 ter;;;;;;
TM 151863;CIE 03165;ET1 Cl 1.2692;ET2 Cl 1.2692;;;;;;;;;;;Multiple references. Common denominator: Trismegistos. ET1. ET2. (2);;;
TM 151869;CIE 03166;ET1 Cl 1.2698;ET2 Cl 1.2698;;;;;;;;CII 0769;;;;;;
TM 151889;CIE 03167;ET1 Cl 1.2718;ET2 Cl 1.2718;;;;;;;;;;;;;;
TM 153528;CIE 03168;ET1 Ar 1.0081;ET2 Ar 1.0081;;;;;;;;;;CII App. 0033;;;;
TM 149121;CIE 03169;ET1 AS 1.0482;ET2 AS 1.0482;;;;;;;;;CII Suppl. III.0259;;;;;
TM 151890;CIE 03170;ET1 Cl 1.2719;ET2 Cl 1.2719;;;;;;;;;;CII App. 0879;;;;
TM 151891;CIE 03171;ET1 Cl 1.2720;ET2 Cl 1.2720;;;;;;;;;;;;;;
TM 151863;CIE 03172;ET1 Cl 1.2692;ET2 Cl 1.2692;;;;;;;;CII 0839 bis p;;;Multiple references. Common denominator: Trismegistos. ET1. ET2. (2);;;
TM 151892;CIE 03173;ET1 Cl 1.2721;ET2 Cl 1.2721;;;;;;;;;;;;;;
TM 150665;CIE 03174;ET1 Cl 1.1493;ET2 Cl 1.1493;;;;;;;;;;;;;;
TM 151893;CIE 03175;ET1 Cl 1.2722;ET2 Cl 1.2722;;;;;;;;;CII Suppl. I.0241 b;;;;;
TM 151860;CIE 03176;ET1 Cl 1.2689;ET2 Cl 1.2689;;;;;;;;;;;;;;
TM 151851;CIE 03177;ET1 Cl 1.2680;ET2 Cl 1.2680;;;;;;;;CII 0826;;;Multiple references. Common denominator: Trismegistos. ET1. CII. (2);;;
TM 151894;CIE 03178;ET1 Cl 1.2723;ET2 Cl 1.2723;;;;;;;;;;;;;;
TM 151895;CIE 03179;ET1 Cl 1.2724;ET2 Cl 1.2724;;;;;;;;;;CII App. 0365 a;;;;
TM 153560;CIE 03180;ET1 Ar 0.0010;ET2 Ar 0.0010;;;;;;;;;;CII App. 0376;;;;
TM 151896;CIE 03181;ET1 Cl 1.2725;ET2 Cl 1.2725;;;;;;;;;;;;;;
TM 151899;CIE 03182;ET1 Cl 1.2728;ET2 Cl 1.2728;;;;;;;;;;;;;;
;CIE 03183;;;;;;;;;;;;;;Fragmentary. Possibly the same inscription as CIE 02415.;;
;CIE 03184;;;;;;;;;;;;CII App. 0366 a;;Fragmentary.;;
;CIE 03185;;;;;;;;;;;;CII App. 0366 b;;Fragmentary.;;
;CIE 03186;;;;;;;;;;CII 0275 bis;;;;Fragmentary.;;
TM 510134;CIE 03187;;;;;;;;;CIL XI.7235;;;;;;;
;CIE 03188;;;;;;;;;;;;;;Fragmentary.;;
TM 151992;CIE 03189;ET1 Cl 8.0006;ET2 Cl 8.0006;TLE 0531;;;;;;;CII 0796 bis;;;;;;
TM 151996;CIE 03190;ET1 Cl 0.0004;ET2 Cl 0.0004;TLE 0543;;;;;;;;;CII App. 0151;;;;
TM 151256;CIE 03191;ET1 Cl 1.2085;ET2 Cl 1.2085;;;;;;;;CII 0268;;;;;;
;CIE 03192;;;;;;;;;;CII 0838;;;;Fragmentary.;;
TM 151900;CIE 03193;ET1 Cl 1.2729;ET2 Cl 1.2729;;;;;;;;CII 0837;;;;;;
TM 153567;CIE 03194;ET1 Fs 1.0005;ET2 Fs 1.0005;;;;;;;;CII 0261;;;Multiple references. Common denominator: Trismegistos. ET1. ET2. (2);;;
TM 150796;CIE 03195;ET1 Cl 1.1624;ET2 Cl 1.1624;;;;;;;;CII 0824;;;;;;
TM 151135;CIE 03196;ET1 Cl 1.1964;ET2 Cl 1.1964;;;;;;;;CII 0825;;;;;;
;CIE 03197;;;;;;;;;;CII 2643;;;;Not described in CIE.;;
;CIE 03198;;;;;;;;;;CII 1059;;;;;;
;CIE 03199;;;;;;;;;;CII 1060 bis a;;;;Considered a possible forgery (see CIE).;;
TM 154278;CIE 03200;ET1 OB 1.0002;ET2 OB 1.0002;;;;;;;;CII 0166;;;;;;
TM 150340;CIE 03201;ET1 Cl 1.1168;ET2 Cl 1.1168;;;;;;;;CII 2560;;;;;;
TM 151025;CIE 03202;ET1 Cl 1.1854;ET2 Cl 1.1854;TLE 0532;;;;;;;CII 0615;;;;"Considered suspect (see ET1; ET2).";;
TM 153535;CIE 03203;ET1 Ar 1.0088;ET2 Ar 1.0088;;;;;;;;CII 2620 bis;;;Multiple references. Common denominator: Trismegistos. ET1. ET2. (2);;;
TM 151770;CIE 03204;ET1 Cl 1.2599;ET2 Cl 1.2599;;;;;;;;CII 2624 bis e;;;;;;
TM 151298;CIE 03205;ET1 Cl 1.2127;ET2 Cl 1.2127;;;;;;;;CII 2624 bis a;CII Suppl. II.0126;;Multiple references. Common denominator: Trismegistos. ET1. ET2. CII. CII Suppl. (2);;CII Suppl. Burman;
TM 150806;CIE 03206;ET1 Cl 1.1618;ET2 Cl 1.1634;;;;;;;;CII 2624 bis d;;;Multiple references. Common denominator: Trismegistos. ET2. (2);Meiser does not include this CIE reference in the app. crit.;CIE Rix;
TM 149123;CIE 03207;ET1 AS 1.0484;ET2 AS 1.0484;;;;;;;;CII 0842;;;;;;
;CIE 03208;;;;;;;;;;CII 0277 bis;;;;Fragmentary.;;
;CIE 03209;;;;;;;;;;CII 0278 ter;;;;Fragmentary.;;
;CIE 03210;;;;;;;;;;CII 0279;;;;Considered a possible forgery (see CIE).;;
;CIE 03211;;;;;;;;;;CII 0278;;;;Considered a possible forgery (see CIE).;;
TM 150945;CIE 03212;ET1 Cl 1.1774;ET2 Cl 1.1774;;;;;;;;;CII Suppl. II.0072;;;;;
TM 510133;CIE 03213;;;;;;;;;CIL XI.7234a;;;;;;;
;CIE 03214;;;;;;;;;;;;;;In too poor a state to be read.;;
;CIE 03215;;;;;;;;;;;;;;In too poor a state to be read.;;
;CIE 03216;;;;;;;;;;;;;;In too poor a state to be read.;;
;CIE 03217;;;;;;;;;;;;;;In too poor a state to be read.;;
;CIE 03218;;;;;;;;;;;;;;In too poor a state to be read.;;
;CIE 03219;;;;;;;;;;;;;;In too poor a state to be read.;;
;CIE 03220;;;;;;;;;;;;;;In too poor a state to be read.;;
;CIE 03221;;;;;;;;;;;;;;In too poor a state to be read.;;
;CIE 03222;;;;;;;;;;;;;;In too poor a state to be read.;;
;CIE 03223;;;;;;;;;;;;;;In too poor a state to be read.;;
;CIE 03224;;;;;;;;;;;;;;In too poor a state to be read.;;
;CIE 03225;;;;;;;;;;;;;;In too poor a state to be read. Due to a printing error the CIE number is incorrectly given as “CIE 03325” in the volume. The surrounding inscriptions makes the real CIE number clear. ;;v 1.0.3: added information to “notes”.
;CIE 03226;;;;;;;;;;;;;;In too poor a state to be read.;;
;CIE 03227;;;;;;;;;;;;;;In too poor a state to be read.;;
;CIE 03228;;;;;;;;;;;;;;In too poor a state to be read.;;
;CIE 03229;;;;;;;;;;;;;;In too poor a state to be read.;;
TM 145499;CIE 03230a α;;;;;CIL I.0209;;;;CIL XI.2091 a;;;CII App. 0400;Multiple references. Common denominator: Trismegistos [10]. CII App. [3]. (10);;;
TM 145499;CIE 03230a β;ET1 Cl 8.0001 a;ET2 Cl 8.0001 a;;;;;;;CIL XI.2091;;;CII App. 0400;Multiple references. Common denominator: Trismegistos [10]. CIL XI [4]. CII App. [3]. (10);;;
TM 145499;CIE 03230b α;;;;;;;;;CIL XI.2091 b;CII 0801 bis;;CII App. 0400;Multiple references. Common denominator: Trismegistos [10]. CII [2]. CII App [3]. (10);;;
TM 145499;CIE 03230b β;ET1 Cl 8.0001 b;ET2 Cl 8.0001 b;;;;;;;CIL XI.2091;CII 0801 bis;;;Multiple references. Common denominator: Trismegistos [10]. CIL XI [4]. CII [2]. (10);;;
TM 145499;CIE 03230c α;;;;;;;;;CIL XI.2091 c;;;CII App. 0954;Multiple references. Common denominator: Trismegistos [10]. CII App. [2]. (10);;;
TM 145499;CIE 03230c β;ET1 Cl 8.0001 c;ET2 Cl 8.0001 c;;;;;;;CIL XI.2091;;;CII App. 0954;Multiple references. Common denominator: Trismegistos [10]. CIL XI [4]. CII App. [2]. (10);;;
TM 145499;CIE 03230d α;;;;;;;;;;;;;Multiple references. Common denominator: Trismegistos. (10);Latin script (see CIE).;;v 1.0.1: added notes. 
TM 145499;CIE 03230d β;ET1 Cl 8.0001 d;ET2 Cl 8.0001 d;;;;;;;;;;;Multiple references. Common denominator: Trismegistos. (10);;;
TM 145499;CIE 03230e;;;;;;;;;CIL XI.2091;;;;Multiple references. Common denominator: Trismegistos [10]. CIL XI [4]. (10);No proper reading given (see CIE).;;
TM 145499;CIE 03230f;;;;;;;;;;;;;Multiple references. Common denominator: Trismegistos. (10);No proper reading given (see CIE).;;
TM 151988;CIE 03231;ET1 Cl 8.0002;ET2 Cl 8.0002;;;;;;;;;;CII App. 0383;;;;
TM 152008;CIE 03232;ET1 Cl 0.0016;ET2 Cl 0.0016;;;;;;;;CII 0260;;;;;;
TM 151989;CIE 03233;ET1 Cl 8.0003;ET2 Cl 8.0003;;;;;;;;;;;;;;
TM 151965;CIE 03234;ET1 Cl 3.0002;ET2 Cl 3.0002;TLE 0481;;;;;;;;CII Suppl. I.0234;CII App. 0608 sub;;;;
TM 151934;CIE 03235;ET1 Cl 2.0008;ET2 Cl 2.0008;TLE 0480;;;;;;;CII 0808;;;;;;
;CIE 03236;;;;;;;;;;CII 0848;;;;Considered spurious or forged (see CIE).;;
;CIE 03237;;;;;;;;;;CII 0849;;;;Considered spurious or forged (see CIE).;;
;CIE 03238;;;;;;;;;;CII 0850;;;;Considered spurious or forged (see CIE).;;
;CIE 03239;;;;;;;;;;CII 0851;;;;Considered spurious or forged (see CIE).;;
;CIE 03240;;;;;;;;;;CII 0852;;;;Considered spurious or forged (see CIE).;;
;CIE 03241;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03242;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03243;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03244;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
TM 151829;CIE 03245;ET1 Cl 1.2658;ET2 Cl 1.2658;;;;;;;;;;;;"Considered suspect (see ET1; ET2).";;
;CIE 03246;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03247;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03248;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03249;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03250;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03251;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03252;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03253;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03254;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03255;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03256;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
