Trismegistos;CIE;Rix. ET1;Meiser. ET2;TLE;Bakkum;CIL I;CIL I(2);CIL III;CIL VI;CIL XI;CII;CII Suppl.;CII App.;Multiple references?;Notes;Credits;Edit log
TM 148457;CIE 00049;ET1 Vt 1.0045;ET2 Vt 1.0045;TLE 0387;;;;;;;CII 0348;;;;;;
TM 148467;CIE 00050 +add;ET1 Vt 1.0055;ET2 Vt 1.0055;TLE 0385;;;;;;;;;CII App. 0049;;;;
TM 148468;CIE 00051;ET1 Vt 1.0056;ET2 Vt 1.0056;TLE 0384;;;;;;;;;CII App. 0048;;;;
TM 145474;CIE 00052 a +add;ET1 Vt 4.0001;ET2 Vt 4.0001;TLE 0401;;;;;;;CII 0314;;;;;;v 1.0.2: corrected formatting of CIE reference.
TM 148612;CIE 00052 b +add;ET1 Vt 4.0002;ET2 Vt 4.0002;TLE 0402;;;;;;;CII 0315;;;;;;v 1.0.2: corrected formatting of CIE reference.
TM 148613;CIE 00052 c +add;ET1 Vt 4.0003;ET2 Vt 4.0003;TLE 0403;;;;;;;CII 0316;;;;;;v 1.0.2: corrected formatting of CIE reference.
TM 148615;CIE 00053;ET1 Vt 4.0005;ET2 Vt 4.0005;TLE 0398;;;;;;;CII 0347;;;;;;
TM 248747;CIE 00054;;;;;;;;;CIL XI.1755;;;;;;;
TM 248744;CIE 00055;;;;;;;;;CIL XI.1756;;;;;;;
TM 148426 ;CIE 00056;ET1 Vt 1.0014;ET2 Vt 1.0014;;;;;;;;CII 1026;;;;;;v 1.0.1: corrected Trismegistos reference. Removed incorrect CIE reference. v 1.0.2: added CIE reference. Removed duplicate row. Removed information from “multiple references” field.
TM 148584;CIE 00057 +add;ET1 Vt 1.0172;ET2 Vt 1.0172;;;;;;;;CII 0363;;;;;;
;CIE 00058;;;;;;;;;;CII 0320;;;;Possibly Latin (see CIE).;;v 1.0.1: added notes. 
TM 148551;CIE 00059;ET1 Vt 1.0139;ET2 Vt 1.0139;;;;;;;;CII 0364 bis q;;;;;;
TM 148512;CIE 00060 +add;ET1 Vt 1.0100;ET2 Vt 1.0100;;;;;;;;;;;;;;
TM 148508;CIE 00061;ET1 Vt 1.0096;ET2 Vt 1.0096;;;;;;;;;;;;;;
TM 248826;CIE 00062;;;;;;;;;CIL XI.1770;CII 0325 bis b;;;;;;
TM 148505;CIE 00063;ET1 Vt 1.0093;ET2 Vt 1.0093;;;;;;;;CII 0366;;;;;;
TM 248740;CIE 00064;;;;;;;;;CIL XI.1766;;;;;;;
TM 148513;CIE 00065;ET1 Vt 1.0101;ET2 Vt 1.0101;;;;;;;;CII 0337;;;;;;
TM 148514;CIE 00066;ET1 Vt 1.0102;ET2 Vt 1.0102;;;;;;;;CII 0363 bis;;;;;;
TM 148515;CIE 00067;ET1 Vt 1.0103;ET2 Vt 1.0103;;;;;;;;CII 0327 bis;;;;;;
TM 148516;CIE 00068;ET1 Vt 1.0104;ET2 Vt 1.0104;;;;;;;;CII 0329;;;;;;
TM 148517;CIE 00069;ET1 Vt 1.0105;ET2 Vt 1.0105;;;;;;;;CII 0328 bis;;;;;;
TM 148518;CIE 00070;ET1 Vt 1.0106;ET2 Vt 1.0106;;;;;;;;CII 0328;;;;;;
TM 148519;CIE 00071;ET1 Vt 1.0107;ET2 Vt 1.0107;;;;;;;;CII 0327;;;;;;
TM 148527;CIE 00072 +add;ET1 Vt 1.0115;ET2 Vt 1.0115;;;;;;;;CII 0342 ter;;;;;;
TM 148521;CIE 00073;ET1 Vt 1.0109;ET2 Vt 1.0109;TLE 0394;;;;;;;CII 0342;;;;;;
TM 148523;CIE 00074;ET1 Vt 1.0111;ET2 Vt 1.0111;;;;;;;;CII 0364 bis n;;;;;;
TM 148524;CIE 00075;ET1 Vt 1.0112;ET2 Vt 1.0112;;;;;;;;CII 0361 bis;;;;;;
TM 148611;CIE 00076;ET1 Vt 3.0003;ET2 Vt 3.0003;TLE 0397;;;;;;;CII 0349;;;;;;
TM 248120;CIE 00077;;;;;;;;;CIL XI.1792;;;;;;;
TM 148533;CIE 00078;ET1 Vt 1.0121;ET2 Vt 1.0121;;;;;;;;CII 0275;;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. (2);;;
TM 148533;CIE 00078;ET1 Vt 1.0121;ET2 Vt 1.0121;;;;;;;;CII 0345 bis;;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. (2);;;
TM 148534;CIE 00079;ET1 Vt 1.0122;ET2 Vt 1.0122;;;;;;;;CII 0320 bis b;;;;;;
TM 148535;CIE 00080;ET1 Vt 1.0123;ET2 Vt 1.0123;;;;;;;;;;CII App. 0051;;;;
TM 148540;CIE 00081;ET1 Vt 1.0128;ET2 Vt 1.0128;;;;;;;;CII 0173;;;;;;
TM 148458;CIE 00082;ET1 Vt 1.0046;ET2 Vt 1.0046;;;;;;;;CII 0330;;;;;;
TM 148459;CIE 00083;ET1 Vt 1.0047;ET2 Vt 1.0047;;;;;;;;CII 0331;;;;;;
TM 148460;CIE 00084;ET1 Vt 1.0048;ET2 Vt 1.0048;;;;;;;;CII 0332;;;;;;
TM 148542;CIE 00085;ET1 Vt 1.0130;ET2 Vt 1.0130;;;;;;;;CII 0181;;;;;;
TM 148544;CIE 00086;ET1 Vt 1.0132;ET2 Vt 1.0132;;;;;;;;CII 0361;;;;;;
TM 248825;CIE 00087;;;;;;;;;CIL XI.1782;;;;;;;
TM 148429;CIE 00088;ET1 Vt 1.0017;ET2 Vt 1.0017;;;;;;;;CII 0333;;;;;;
TM 248945;CIE 00089;;;;;;;;;CIL XI.7072;;;;;;;
TM 248764;CIE 00090;;;;;;CIL I(2).3367c;;;CIL XI.1786;;;;Multiple references. Common denominator: Trismegistos. CIL I(2). (2);;;
TM 148547;CIE 00091;ET1 Vt 1.0135;ET2 Vt 1.0135;;;;;;;;CII 0334;;;;;;
TM 148541;CIE 00092;ET1 Vt 1.0129;ET2 Vt 1.0129;;;;;;;;CII 0320 bis a;;;;;;
TM 148447;CIE 00093;ET1 Vt 1.0035;ET2 Vt 1.0035;;;;;;;;CII 0362 bis a;;;;;;
TM 148550;CIE 00094;ET1 Vt 1.0138;ET2 Vt 1.0138;;;;;;;;CII 0336;;;;;;
TM 148553;CIE 00095;ET1 Vt 1.0141;ET2 Vt 1.0141;;;;;;;;CII 0336 bis c;;;Multiple references. Common denominator: Trismegistos. ET1. ET2. (2);;;
TM 148553;CIE 00096;ET1 Vt 1.0141;ET2 Vt 1.0141;;;;;;;;CII 2615;;;Multiple references. Common denominator: Trismegistos. ET1. ET2. (2);;;
TM 148554;CIE 00097;ET1 Vt 1.0142;ET2 Vt 1.0142;;;;;;;;CII 0336 bis a;;;;;;
TM 148555;CIE 00098;ET1 Vt 1.0143;ET2 Vt 1.0143;;;;;;;;CII 0336 bis b;;;;;;
