word,freq,pred_class,prob_raw,prob_cal,p_FUNC,p_NAME-F,p_NAME-M,p_OTHER,p_THEO,p_VERB
aanth,1,NAME-M,0.906,0.653,0.000,0.002,0.906,0.091,0.000,0.000
aapia,1,OTHER,0.925,0.653,0.000,0.035,0.039,0.925,0.000,0.000
abiana,1,OTHER,0.938,0.653,0.000,0.014,0.048,0.938,0.000,0.000
aca,1,OTHER,0.994,0.653,0.000,0.003,0.003,0.994,0.000,0.000
acai,1,OTHER,0.975,0.653,0.000,0.025,0.001,0.975,0.000,0.000
acalactra,1,OTHER,0.955,0.653,0.000,0.043,0.002,0.955,0.000,0.000
acap,1,OTHER,0.995,0.653,0.000,0.001,0.004,0.995,0.000,0.000
acarcelini,1,NAME-F,0.972,0.653,0.000,0.972,0.028,0.000,0.000,0.000
acarial,1,NAME-F,0.998,0.653,0.000,0.998,0.000,0.002,0.000,0.000
acev,1,OTHER,0.998,0.653,0.000,0.000,0.002,0.998,0.000,0.000
acevzfthiklmnpsrstufch,1,OTHER,1.000,0.653,0.000,0.000,0.000,1.000,0.000,0.000
acevzthikl,1,OTHER,0.998,0.653,0.000,0.002,0.000,0.998,0.000,0.000
achalu,1,OTHER,0.998,0.653,0.000,0.000,0.001,0.998,0.000,0.000
achleitruiestthesthufarce,1,OTHER,1.000,0.653,0.000,0.000,0.000,1.000,0.000,0.000
achmenrun,1,OTHER,1.000,0.653,0.000,0.000,0.000,1.000,0.000,0.000
achnus,1,NAME-M,0.998,0.653,0.000,0.001,0.998,0.000,0.000,0.000
achpprirutilefilucrates,1,OTHER,0.962,0.653,0.000,0.000,0.038,0.962,0.000,0.000
achratinialisa,1,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
achuis,1,NAME-M,0.923,0.653,0.000,0.044,0.923,0.031,0.001,0.000
achunial,2,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
achus,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
acilth,1,NAME-M,0.922,0.653,0.000,0.018,0.922,0.009,0.001,0.051
aclineial,1,NAME-F,1.000,0.653,0.000,1.000,0.000,0.000,0.000,0.000
acna,1,NAME-M,0.933,0.653,0.000,0.061,0.933,0.005,0.000,0.000
acnaine,1,OTHER,0.994,0.653,0.000,0.001,0.005,0.994,0.000,0.000
acnatna,1,OTHER,0.959,0.653,0.000,0.015,0.026,0.959,0.000,0.000
acrialsm,1,NAME-F,0.981,0.653,0.000,0.981,0.014,0.005,0.000,0.000
acries,1,NAME-M,0.997,0.653,0.000,0.000,0.997,0.003,0.000,0.000
acsial,1,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
acuch,1,OTHER,1.000,0.653,0.000,0.000,0.000,1.000,0.000,0.000
aczt,1,OTHER,0.998,0.653,0.000,0.001,0.001,0.998,0.000,0.000
aecthli,1,OTHER,0.956,0.653,0.000,0.039,0.005,0.956,0.000,0.000
aefla,1,OTHER,0.909,0.653,0.000,0.000,0.091,0.909,0.000,0.000
aeiu,1,OTHER,0.990,0.653,0.000,0.000,0.010,0.990,0.000,0.000
aercet,1,OTHER,0.986,0.653,0.000,0.000,0.014,0.986,0.000,0.000
aeser,1,OTHER,0.994,0.653,0.000,0.000,0.006,0.994,0.000,0.000
aeu,1,OTHER,0.998,0.653,0.000,0.000,0.002,0.998,0.000,0.000
aevlti,1,OTHER,0.912,0.653,0.000,0.020,0.068,0.912,0.000,0.000
aevzfithiklmnpsrstufchf,1,OTHER,1.000,0.653,0.000,0.000,0.000,1.000,0.000,0.000
afie,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
afnas,1,NAME-M,0.994,0.653,0.000,0.000,0.994,0.006,0.000,0.000
afun,1,NAME-M,0.997,0.653,0.000,0.001,0.997,0.002,0.000,0.000
afunas,1,NAME-M,0.991,0.653,0.000,0.000,0.991,0.009,0.000,0.000
afuneial,1,NAME-F,0.993,0.653,0.000,0.993,0.007,0.000,0.000,0.000
afunes,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
ahatrunie,1,OTHER,0.940,0.653,0.000,0.000,0.060,0.940,0.000,0.000
aiclan,1,OTHER,0.965,0.653,0.000,0.006,0.029,0.965,0.000,0.000
aif,1,OTHER,0.977,0.653,0.000,0.019,0.004,0.977,0.000,0.000
ainal,1,NAME-F,0.998,0.653,0.000,0.998,0.002,0.001,0.000,0.000
ainial,1,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
ainias,1,NAME-M,0.945,0.653,0.000,0.015,0.945,0.040,0.000,0.000
aiseras,1,NAME-M,0.999,0.653,0.000,0.000,0.999,0.000,0.001,0.000
aisiuthrice,1,NAME-M,0.982,0.653,0.000,0.001,0.982,0.006,0.000,0.010
aisur,1,OTHER,0.984,0.653,0.000,0.013,0.003,0.984,0.000,0.000
aita,1,OTHER,0.992,0.653,0.000,0.001,0.007,0.992,0.000,0.000
aithna,1,OTHER,0.925,0.653,0.000,0.005,0.070,0.925,0.000,0.000
aitnepethi,1,NAME-F,0.995,0.653,0.000,0.995,0.003,0.002,0.000,0.000
akalu,1,OTHER,0.979,0.653,0.000,0.000,0.021,0.979,0.000,0.000
akrathe,1,OTHER,1.000,0.653,0.000,0.000,0.000,1.000,0.000,0.000
alcilnia,1,NAME-F,0.924,0.653,0.000,0.924,0.003,0.073,0.000,0.000
alepu,1,OTHER,0.976,0.653,0.000,0.002,0.022,0.976,0.000,0.000
alethnal,1,NAME-F,0.955,0.653,0.000,0.955,0.045,0.000,0.000,0.000
aleths,1,NAME-M,0.975,0.653,0.000,0.023,0.975,0.000,0.001,0.000
alfial,1,NAME-F,0.997,0.653,0.000,0.997,0.002,0.001,0.000,0.000
alixentrom,1,OTHER,1.000,0.653,0.000,0.000,0.000,1.000,0.000,0.000
alnei,1,NAME-F,0.994,0.653,0.000,0.994,0.000,0.005,0.000,0.000
alnias,1,NAME-M,0.937,0.653,0.000,0.063,0.937,0.000,0.000,0.000
alpa,1,OTHER,0.996,0.653,0.000,0.001,0.003,0.996,0.000,0.000
alpiuial,1,NAME-F,0.996,0.653,0.000,0.996,0.001,0.003,0.000,0.000
alpnas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
alpnu,2,OTHER,0.996,0.653,0.000,0.001,0.002,0.996,0.000,0.000
alpuialisa,1,NAME-F,0.973,0.653,0.000,0.973,0.027,0.000,0.000,0.000
alpzen,1,OTHER,0.988,0.653,0.000,0.007,0.005,0.988,0.000,0.000
alsaianasi,1,NAME-F,0.953,0.653,0.000,0.953,0.045,0.002,0.000,0.000
alsina,1,NAME-M,0.915,0.653,0.000,0.085,0.915,0.000,0.000,0.000
alsinei,1,NAME-F,1.000,0.653,0.000,1.000,0.000,0.000,0.000,0.000
althras,1,NAME-M,0.979,0.653,0.000,0.002,0.979,0.019,0.000,0.000
aluniial,1,NAME-F,0.997,0.653,0.000,0.997,0.002,0.001,0.000,0.000
alza,1,NAME-M,0.996,0.653,0.000,0.004,0.996,0.000,0.000,0.000
amfare,1,OTHER,1.000,0.653,0.000,0.000,0.000,1.000,0.000,0.000
amnei,1,NAME-F,0.948,0.653,0.000,0.948,0.002,0.050,0.000,0.000
amthni,1,NAME-F,0.984,0.653,0.000,0.984,0.015,0.000,0.000,0.000
amthnial,2,NAME-F,0.998,0.653,0.000,0.998,0.002,0.000,0.000,0.000
anainial,2,NAME-F,0.998,0.653,0.000,0.998,0.002,0.000,0.000,0.000
anasa,1,NAME-M,0.942,0.653,0.000,0.053,0.942,0.005,0.000,0.000
anasis,1,NAME-M,0.989,0.653,0.000,0.001,0.989,0.009,0.000,0.000
ancarial,4,NAME-F,0.997,0.653,0.000,0.997,0.003,0.000,0.000,0.000
ancarialisa,2,NAME-F,0.982,0.653,0.000,0.982,0.018,0.000,0.000,0.000
ancarias,2,NAME-M,0.997,0.653,0.000,0.003,0.997,0.000,0.000,0.000
aneies,1,NAME-M,0.990,0.653,0.000,0.000,0.990,0.010,0.000,0.000
aneinal,1,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
aneineialisa,1,NAME-F,0.995,0.653,0.000,0.995,0.005,0.000,0.000,0.000
aneinial,1,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
anetnial,1,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
anfe,1,OTHER,0.989,0.653,0.000,0.000,0.011,0.989,0.000,0.000
anial,1,NAME-F,0.996,0.653,0.000,0.996,0.003,0.001,0.000,0.000
anie,2,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
aniesa,3,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
aninai,1,NAME-F,0.940,0.653,0.000,0.940,0.008,0.052,0.000,0.000
aninaialc,1,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
aninei,1,NAME-F,0.996,0.653,0.000,0.996,0.001,0.003,0.000,0.000
aniusa,1,NAME-M,0.945,0.653,0.000,0.052,0.945,0.003,0.000,0.000
ankariu,1,OTHER,0.959,0.653,0.000,0.000,0.040,0.959,0.000,0.000
anku,1,OTHER,0.974,0.653,0.000,0.000,0.026,0.974,0.000,0.000
ansinas,1,NAME-M,0.982,0.653,0.000,0.000,0.982,0.018,0.000,0.000
antar,1,OTHER,0.940,0.653,0.000,0.001,0.059,0.940,0.000,0.000
anti,1,NAME-F,0.965,0.653,0.000,0.965,0.035,0.000,0.000,0.000
antinal,1,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
apa,1,OTHER,0.980,0.653,0.000,0.000,0.020,0.980,0.000,0.000
apana,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
apanal,1,NAME-F,0.912,0.653,0.000,0.912,0.088,0.000,0.000,0.000
apanes,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
apasi,1,NAME-M,0.955,0.653,0.000,0.045,0.955,0.000,0.000,0.000
apatrui,1,NAME-F,0.992,0.653,0.000,0.992,0.008,0.000,0.000,0.000
apcus,1,NAME-M,0.952,0.653,0.000,0.000,0.952,0.048,0.000,0.000
apenial,1,NAME-F,0.990,0.653,0.000,0.990,0.010,0.000,0.000,0.000
aperisvm,1,NAME-M,0.957,0.653,0.000,0.017,0.957,0.026,0.000,0.000
aperuce,1,NAME-M,0.994,0.653,0.000,0.000,0.994,0.001,0.000,0.005
apianas,1,NAME-M,0.998,0.653,0.000,0.000,0.998,0.002,0.000,0.000
apicneialisa,1,NAME-F,0.994,0.653,0.000,0.994,0.006,0.000,0.000,0.000
apirase,2,NAME-M,0.997,0.653,0.000,0.002,0.997,0.001,0.000,0.000
apirthe,1,NAME-M,0.957,0.653,0.000,0.012,0.957,0.007,0.000,0.024
apnies,2,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
aprensais,1,NAME-M,0.989,0.653,0.000,0.011,0.989,0.000,0.000,0.000
aprnal,1,NAME-F,0.983,0.653,0.000,0.983,0.012,0.005,0.000,0.000
aprnasa,1,NAME-M,0.931,0.653,0.000,0.065,0.931,0.005,0.000,0.000
aprthnas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
apunial,2,NAME-F,0.982,0.653,0.000,0.982,0.016,0.002,0.000,0.000
aranthial,1,NAME-F,0.974,0.653,0.000,0.974,0.026,0.000,0.000,0.000
arath,1,NAME-M,0.994,0.653,0.000,0.002,0.994,0.003,0.000,0.000
arathial,1,NAME-F,0.995,0.653,0.000,0.995,0.005,0.000,0.000,0.000
arazas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
arcenziom,1,OTHER,1.000,0.653,0.000,0.000,0.000,1.000,0.000,0.000
arfthial,1,NAME-F,0.999,0.653,0.000,0.999,0.001,0.001,0.000,0.000
arices,1,NAME-M,0.995,0.653,0.000,0.000,0.995,0.005,0.000,0.000
ariitio,1,NAME-M,0.947,0.653,0.000,0.035,0.947,0.018,0.000,0.000
arika,1,OTHER,0.968,0.653,0.000,0.001,0.032,0.968,0.000,0.000
arinas,2,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
ariodantes,7,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
arithas,1,NAME-M,0.988,0.653,0.000,0.002,0.988,0.011,0.000,0.000
ariz,1,OTHER,0.907,0.653,0.000,0.002,0.090,0.907,0.000,0.000
arkren,1,NAME-M,0.985,0.653,0.000,0.001,0.985,0.013,0.000,0.000
armeal,1,NAME-F,0.967,0.653,0.000,0.967,0.024,0.009,0.000,0.000
armnial,1,NAME-F,0.998,0.653,0.000,0.998,0.002,0.000,0.000,0.000
arnias,1,NAME-M,0.998,0.653,0.000,0.002,0.998,0.000,0.000,0.000
arnkupfk,1,NAME-M,0.971,0.653,0.000,0.029,0.971,0.000,0.000,0.000
arnsa,1,NAME-M,0.984,0.653,0.000,0.016,0.984,0.000,0.000,0.000
arnthaes,1,NAME-M,0.969,0.653,0.000,0.000,0.969,0.031,0.000,0.000
arnthalitlepumpus,1,NAME-M,0.999,0.653,0.000,0.000,0.999,0.001,0.000,0.000
arntheiales,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
arnthias,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
arnthiclauniuivetina,1,NAME-M,0.993,0.653,0.000,0.005,0.993,0.002,0.000,0.000
arnthnial,1,NAME-F,0.990,0.653,0.000,0.990,0.010,0.000,0.000,0.000
arnthunas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
arnthur,1,NAME-M,0.948,0.653,0.000,0.052,0.948,0.000,0.000,0.000
arnthusa,3,NAME-M,0.998,0.653,0.000,0.002,0.998,0.000,0.000,0.000
arnthusi,1,NAME-M,0.990,0.653,0.000,0.010,0.990,0.000,0.000,0.000
arntial,1,NAME-F,0.995,0.653,0.000,0.995,0.005,0.000,0.000,0.000
arnties,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
arntlial,1,NAME-F,0.993,0.653,0.000,0.993,0.007,0.000,0.000,0.000
arntnal,1,NAME-F,0.992,0.653,0.000,0.992,0.008,0.000,0.000,0.000
arntneial,1,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
arntnial,6,NAME-F,0.994,0.653,0.000,0.994,0.006,0.000,0.000,0.000
arntnialisa,1,NAME-F,0.939,0.653,0.000,0.939,0.061,0.000,0.000,0.000
arntnialisasa,1,NAME-F,0.931,0.653,0.000,0.931,0.069,0.000,0.000,0.000
arntnies,1,NAME-M,0.999,0.653,0.000,0.000,0.999,0.001,0.000,0.000
arntniesa,1,NAME-M,0.999,0.653,0.000,0.001,0.999,0.000,0.000,0.000
arnzas,1,NAME-M,0.997,0.653,0.000,0.000,0.997,0.003,0.000,0.000
arnziu,1,NAME-M,0.999,0.653,0.000,0.001,0.999,0.000,0.000,0.000
arpatislanefelznal,1,NAME-F,0.995,0.653,0.000,0.995,0.005,0.000,0.000,0.000
arpetrunizetnal,1,NAME-F,0.978,0.653,0.000,0.978,0.022,0.000,0.000,0.000
arrvntis,2,NAME-M,0.995,0.653,0.000,0.004,0.995,0.001,0.000,0.000
artamasial,2,NAME-F,0.966,0.653,0.000,0.966,0.034,0.000,0.000,0.000
artes,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
arthes,1,NAME-M,0.993,0.653,0.000,0.000,0.993,0.007,0.000,0.000
artmsial,1,NAME-F,0.982,0.653,0.000,0.982,0.017,0.000,0.000,0.000
artnas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
artneial,1,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
artneialisa,1,NAME-F,0.971,0.653,0.000,0.971,0.029,0.000,0.000,0.000
artnial,2,NAME-F,0.987,0.653,0.000,0.987,0.013,0.000,0.000,0.000
artumesial,1,NAME-F,0.910,0.653,0.000,0.910,0.090,0.000,0.000,0.000
arunithla,1,NAME-M,0.990,0.653,0.000,0.010,0.990,0.000,0.000,0.000
arunth,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
arusanial,1,NAME-F,0.987,0.653,0.000,0.987,0.013,0.000,0.000,0.000
arutemacen,1,OTHER,0.979,0.653,0.000,0.000,0.021,0.979,0.000,0.000
arza,1,NAME-M,0.999,0.653,0.000,0.001,0.999,0.000,0.000,0.000
arzausa,1,NAME-M,0.995,0.653,0.000,0.005,0.995,0.001,0.000,0.000
arznal,1,NAME-F,0.994,0.653,0.000,0.994,0.006,0.000,0.000,0.000
asatesa,1,NAME-M,0.999,0.653,0.000,0.001,0.999,0.000,0.000,0.000
asch,1,OTHER,0.973,0.653,0.000,0.000,0.027,0.973,0.000,0.000
asles,1,NAME-M,0.958,0.653,0.000,0.000,0.958,0.042,0.000,0.000
asna,1,OTHER,0.956,0.653,0.000,0.000,0.044,0.956,0.000,0.000
astnatpu,1,OTHER,0.927,0.653,0.000,0.002,0.071,0.927,0.000,0.000
astres,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
asuthienas,1,NAME-M,0.950,0.653,0.000,0.000,0.950,0.050,0.000,0.000
atainei,2,NAME-F,0.992,0.653,0.000,0.992,0.002,0.005,0.000,0.000
atainial,3,NAME-F,0.996,0.653,0.000,0.996,0.004,0.000,0.000,0.000
atainialisa,1,NAME-F,0.972,0.653,0.000,0.972,0.028,0.000,0.000,0.000
atalu,1,OTHER,0.989,0.653,0.000,0.000,0.011,0.989,0.000,0.000
atanial,1,NAME-F,0.994,0.653,0.000,0.994,0.004,0.002,0.000,0.000
ateinialisa,1,NAME-F,0.989,0.653,0.000,0.989,0.011,0.000,0.000,0.000
atesa,1,NAME-M,0.910,0.653,0.000,0.002,0.910,0.088,0.000,0.000
ateuze,1,OTHER,1.000,0.653,0.000,0.000,0.000,1.000,0.000,0.000
athens,1,OTHER,0.994,0.653,0.000,0.000,0.006,0.994,0.000,0.000
athnu,1,OTHER,0.945,0.653,0.000,0.000,0.055,0.945,0.000,0.000
athnuial,1,NAME-F,0.990,0.653,0.000,0.990,0.005,0.005,0.000,0.000
athnusa,2,NAME-M,0.967,0.653,0.000,0.020,0.967,0.012,0.000,0.000
athununial,1,NAME-F,0.992,0.653,0.000,0.992,0.007,0.001,0.000,0.000
atic,1,NAME-M,0.977,0.653,0.000,0.003,0.977,0.000,0.000,0.020
atina,1,OTHER,0.917,0.653,0.000,0.001,0.082,0.917,0.000,0.000
atinatial,1,NAME-F,0.998,0.653,0.000,0.998,0.001,0.000,0.000,0.000
atiu,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
atius,1,NAME-M,0.998,0.653,0.000,0.002,0.998,0.000,0.000,0.000
atk,1,OTHER,0.992,0.653,0.000,0.001,0.007,0.992,0.000,0.000
atna,1,NAME-M,0.998,0.653,0.000,0.002,0.998,0.000,0.000,0.000
atnas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
atneial,2,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
atneiesa,1,NAME-M,0.985,0.653,0.000,0.003,0.985,0.012,0.000,0.000
atranes,2,NAME-M,0.999,0.653,0.000,0.000,0.999,0.000,0.000,0.000
atre,1,OTHER,1.000,0.653,0.000,0.000,0.000,1.000,0.000,0.000
atreial,1,NAME-F,0.981,0.653,0.000,0.981,0.002,0.017,0.000,0.000
atrnas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
atrste,1,OTHER,1.000,0.653,0.000,0.000,0.000,1.000,0.000,0.000
auinial,1,NAME-F,0.998,0.653,0.000,0.998,0.002,0.000,0.000,0.000
aulele,1,OTHER,0.989,0.653,0.000,0.000,0.011,0.989,0.000,0.000
aulepulfnaperis,1,NAME-M,0.917,0.653,0.000,0.001,0.917,0.082,0.000,0.000
auletluties,1,NAME-M,0.953,0.653,0.000,0.000,0.953,0.047,0.000,0.000
aulial,3,NAME-F,0.961,0.653,0.000,0.961,0.039,0.000,0.000,0.000
aulias,1,NAME-M,0.999,0.653,0.000,0.001,0.999,0.000,0.000,0.000
aulnialisa,1,NAME-F,0.910,0.653,0.000,0.910,0.090,0.000,0.000,0.000
auntnial,1,NAME-F,0.993,0.653,0.000,0.993,0.007,0.000,0.000,0.000
auriasa,1,NAME-M,0.931,0.653,0.000,0.063,0.931,0.006,0.000,0.000
ause,1,NAME-M,0.973,0.653,0.000,0.002,0.973,0.025,0.000,0.000
authnial,1,NAME-F,0.981,0.653,0.000,0.981,0.018,0.001,0.000,0.000
avalnies,2,NAME-M,0.992,0.653,0.000,0.000,0.992,0.008,0.000,0.000
aveinial,1,NAME-F,0.995,0.653,0.000,0.995,0.005,0.000,0.000,0.000
avela,1,NAME-M,0.998,0.653,0.000,0.002,0.998,0.000,0.000,0.000
avele,1,OTHER,0.908,0.653,0.000,0.000,0.092,0.908,0.000,0.000
avelesfanpnas,1,NAME-M,0.998,0.653,0.000,0.000,0.998,0.002,0.000,0.000
avelnas,1,NAME-M,0.998,0.653,0.000,0.000,0.998,0.002,0.000,0.000
avelt,1,NAME-M,0.997,0.653,0.000,0.003,0.997,0.000,0.000,0.000
aviiisiiivs,1,NAME-M,0.991,0.653,0.000,0.000,0.991,0.009,0.000,0.000
avils,14,VERB,1.000,0.653,0.000,0.000,0.000,0.000,0.000,1.000
avka,1,OTHER,0.904,0.653,0.000,0.000,0.096,0.904,0.000,0.000
avlekavinisech,1,NAME-M,0.903,0.653,0.000,0.000,0.903,0.097,0.000,0.000
avles,1,NAME-M,0.981,0.653,0.000,0.000,0.981,0.019,0.000,0.000
avlesla,1,NAME-M,0.998,0.653,0.000,0.000,0.998,0.002,0.000,0.000
avlesthan,1,OTHER,0.928,0.653,0.000,0.000,0.072,0.928,0.000,0.000
avulnas,1,NAME-M,0.988,0.653,0.000,0.000,0.988,0.012,0.000,0.000
avun,1,OTHER,0.980,0.653,0.000,0.000,0.020,0.980,0.000,0.000
azlsnial,1,NAME-F,0.998,0.653,0.000,0.998,0.002,0.000,0.000,0.000
broccevs,1,OTHER,0.975,0.653,0.000,0.000,0.025,0.975,0.000,0.000
caceies,2,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
cacilia,2,NAME-F,0.976,0.653,0.000,0.976,0.008,0.017,0.000,0.000
cacnies,1,NAME-M,0.990,0.653,0.000,0.000,0.990,0.010,0.000,0.000
caeasatnas,1,NAME-M,0.998,0.653,0.000,0.000,0.998,0.002,0.000,0.000
cafatial,1,NAME-F,0.993,0.653,0.000,0.993,0.007,0.000,0.000,0.000
caiaialisa,1,NAME-F,0.970,0.653,0.000,0.970,0.030,0.000,0.000,0.000
caial,2,NAME-F,0.995,0.653,0.000,0.995,0.004,0.001,0.000,0.000
caias,2,NAME-M,0.998,0.653,0.000,0.002,0.998,0.000,0.000,0.000
caicnas,1,NAME-M,0.994,0.653,0.000,0.000,0.994,0.006,0.000,0.000
caiizirtlial,1,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
cailes,2,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
cainei,1,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
caines,1,NAME-M,0.976,0.653,0.000,0.000,0.976,0.024,0.000,0.000
caiso,1,OTHER,0.954,0.653,0.000,0.012,0.035,0.954,0.000,0.000
calatvrnal,1,NAME-F,0.970,0.653,0.000,0.970,0.027,0.003,0.000,0.000
calisnas,2,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
calisneial,2,NAME-F,1.000,0.653,0.000,1.000,0.000,0.000,0.000,0.000
calpurnial,1,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
caluneial,1,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
calunial,1,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
cameial,1,NAME-F,1.000,0.653,0.000,1.000,0.000,0.000,0.000,0.000
camnai,1,NAME-F,0.986,0.653,0.000,0.986,0.014,0.000,0.000,0.000
campanes,1,NAME-M,0.983,0.653,0.000,0.000,0.983,0.017,0.000,0.000
campes,1,NAME-M,0.993,0.653,0.000,0.000,0.993,0.007,0.000,0.000
camthi,1,NAME-F,0.998,0.653,0.000,0.998,0.002,0.000,0.000,0.000
canatneialisa,1,NAME-F,0.997,0.653,0.000,0.997,0.003,0.000,0.000,0.000
canei,1,NAME-F,0.997,0.653,0.000,0.997,0.002,0.001,0.000,0.000
canirachathcesnieltha,1,NAME-M,0.969,0.653,0.000,0.027,0.969,0.005,0.000,0.000
canlan,1,NAME-M,0.959,0.653,0.000,0.040,0.959,0.000,0.000,0.000
cansaliesa,1,NAME-M,0.997,0.653,0.000,0.003,0.997,0.000,0.000,0.000
canthusa,1,NAME-M,0.997,0.653,0.000,0.003,0.997,0.000,0.000,0.000
capevanes,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
caplthu,1,NAME-M,0.987,0.653,0.000,0.013,0.987,0.000,0.000,0.000
capnal,1,NAME-F,0.998,0.653,0.000,0.998,0.002,0.000,0.000,0.000
capnas,1,NAME-M,0.998,0.653,0.000,0.000,0.998,0.002,0.000,0.000
capnial,1,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
caprasis,1,NAME-M,0.961,0.653,0.000,0.002,0.961,0.036,0.000,0.000
caprinal,1,NAME-F,0.998,0.653,0.000,0.998,0.001,0.000,0.000,0.000
caprunas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
capsneial,1,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
capue,1,NAME-M,0.989,0.653,0.000,0.004,0.989,0.000,0.000,0.007
capy,1,NAME-M,0.977,0.653,0.000,0.022,0.977,0.000,0.000,0.000
capznas,3,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
carcnas,1,NAME-M,0.998,0.653,0.000,0.000,0.998,0.002,0.000,0.000
carcu,1,NAME-M,0.932,0.653,0.000,0.019,0.932,0.049,0.000,0.000
carcunias,1,NAME-M,0.989,0.653,0.000,0.011,0.989,0.000,0.000,0.000
carcus,2,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
carcusa,1,NAME-M,0.945,0.653,0.000,0.055,0.945,0.000,0.000,0.000
carnasa,2,NAME-M,0.963,0.653,0.000,0.037,0.963,0.000,0.000,0.000
carnial,1,NAME-F,0.999,0.653,0.000,0.999,0.001,0.000,0.000,0.000
carpnatial,1,NAME-F,0.998,0.653,0.000,0.998,0.002,0.000,0.000,0.000
carsnas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
carta,2,NAME-M,0.989,0.653,0.000,0.011,0.989,0.000,0.000,0.000
cartlia,1,NAME-F,0.976,0.653,0.000,0.976,0.023,0.002,0.000,0.000
caschce,1,NAME-M,0.966,0.653,0.000,0.003,0.966,0.003,0.000,0.029
caseform,1,OTHER,0.974,0.653,0.000,0.014,0.012,0.974,0.000,0.000
casntra,1,OTHER,0.931,0.653,0.000,0.014,0.055,0.931,0.000,0.000
casprial,1,NAME-F,0.995,0.653,0.000,0.995,0.005,0.000,0.000,0.000
caspu,1,NAME-M,0.992,0.653,0.000,0.005,0.992,0.002,0.001,0.000
casthnialth,1,NAME-M,0.961,0.653,0.000,0.039,0.961,0.000,0.000,0.000
