word,freq,known_gloss,concept_en,concept_ru,domain,lang,form,sim,tier
ciarthialisa,1,mrs-ciarthis-daughtershusband,letter-missive,письмо,tech,akk,egertu?,0.750,A
ciarthiesa,2,,letter-missive,письмо,tech,akk,egertu?,1.000,A
ciathna,1,,jug,кувшин,vessel,grc,kothon,1.000,B
cicaru,1,mikradracontiasomecallitaronotherscallit,letter-missive,письмо,tech,heb,iggeret,0.750,A
cicus,2,cicu,copper,медь,trade,grc,chalkos,0.750,B
cicusa,3,mr-cicus-sons-wife,copper,медь,trade,grc,chalkos,0.750,B
cierinial,1,,spring-water,источник,geo,grc,krene,1.000,B
ciiithiiis,1,ms-ziici,comb,гребень,adorn,grc,kteis,1.000,B
cilec,1,,cup,чаша,vessel,lat,calix,1.000,A
cilen,2,adivinegeniuss,cloak,плащ,cloth,grc,chlaina,1.000,B
cilensial,1,ofadivinegenius,oven,печь,tech,grc,klibanos,0.800,A
cilensl,1,,oven,печь,tech,grc,klibanos,0.800,A
ciloth,1,,knife,нож,tech,lat,culter,0.750,B
cilth,2,,knife,нож,tech,lat,culter,0.750,B
cilthl,11,citadel,knife,нож,tech,lat,culter,0.750,B
cilths,10,,sword,меч,tech,lat,gladius,1.000,B
cilthus,1,,sword,меч,tech,lat,gladius,1.000,B
cincual,1,,five,пять,measure,lat,quinque,1.000,B
cincuni,1,,basket,корзина,vessel,grc,kaneon,0.750,B
cincunia,1,,basket,корзина,vessel,grc,kaneon,0.750,B
cint,1,bon-cintcum,hundred,сто,measure,lat,centum,0.750,B
cipinal,1,,head,голова,body,grc,kephale,0.750,B
cisuita,1,,box-chest,ларь,household,lat,cista,1.000,B
citz,2,,comb,гребень,adorn,grc,kteis,1.000,B
clan,25,son,cloak,плащ,cloth,grc,chlaina,1.000,B
clanc,2,son,cloak,плащ,cloth,grc,chlaina,1.000,B
claniu,1,mr-claniu,cloak,плащ,cloth,grc,chlaina,1.000,B
clanti,1,,cloak,плащ,cloth,grc,chlaina,0.750,B
clantie,1,,cloak,плащ,cloth,grc,chlaina,0.750,B
clantinei,1,mrs-clantineis-sons-wife,weight-talent,талант-вес,tech,grc,talanton,0.800,B
clantis,1,,sword,меч,tech,lat,gladius,0.800,B
clantisa,1,,sword,меч,tech,lat,gladius,0.800,B
clapanas,1,,oven,печь,tech,grc,klibanos,1.000,A
clatia,1,,knife,нож,tech,lat,culter,0.750,B
clauce,1,,cup,чаша,vessel,lat,calix,1.000,A
claz,1,mr-arnthmrs-casnislittle-sonmr-arnthaucl,key,ключ,tech,grc,kleis,1.000,B
cleiina,1,,cloak,плащ,cloth,grc,chlaina,1.000,B
clen,2,son,cloak,плащ,cloth,grc,chlaina,1.000,B
clenar,4,sons,knife,нож,tech,lat,culter,0.750,B
cleniarc,2,sons,knife,нож,tech,lat,culter,0.750,B
clensi,3,son,oven,печь,tech,grc,klibanos,0.800,A
clentar,1,,knife,нож,tech,lat,culter,0.800,B
clenus,2,,cloak,плащ,cloth,grc,chlaina,1.000,B
clepatra,1,mr-clepatra,knife,нож,tech,lat,culter,0.800,B
clepatras,1,clepatras,knife,нож,tech,lat,culter,0.800,B
cles,1,son,key,ключ,tech,grc,kleis,1.000,B
cletithe,1,,cat,кот,animal,grc,katta?,0.750,B
cletram,7,litter,knife,нож,tech,lat,culter,1.000,B
cleusinas,2,cleusinas,oven,печь,tech,grc,klibanos,0.800,A
cleva,2,,key,ключ,tech,lat,clavis,0.750,B
clevsinas,1,,key,ключ,tech,lat,clavis,0.800,B
clitram,1,litter,knife,нож,tech,lat,culter,1.000,B
clodis,1,,sword,меч,tech,lat,gladius,1.000,B
clpaisu,1,,oven,печь,tech,grc,klibanos,0.800,A
cltcu,3,,cup,чаша,vessel,lat,calix,0.750,A
clthi,3,in-this-same-place--,knife,нож,tech,lat,culter,0.750,B
clthii,1,,knife,нож,tech,lat,culter,0.750,B
clthil,1,,knife,нож,tech,lat,culter,0.750,B
cltral,1,,knife,нож,tech,lat,culter,1.000,B
clucthras,1,,knife,нож,tech,lat,culter,0.800,B
cluctras,1,,knife,нож,tech,lat,culter,0.800,B
clueste,2,clueshte,key,ключ,tech,grc,kleis,0.750,B
clueties,1,,sword,меч,tech,lat,gladius,1.000,B
clumneial,1,,cumin,тмин,plantfood,akk,kamunu,0.750,A
clun,1,,cloak,плащ,cloth,grc,chlaina,1.000,B
cluntni,1,,weight-talent,талант-вес,tech,grc,talanton,0.800,B
clutesa,1,,sword,меч,tech,lat,gladius,1.000,B
cluvenias,2,of-chiusi,oven,печь,tech,grc,klibanos,0.800,A
clz,1,сеl,key,ключ,tech,grc,kleis,1.000,B
cnaives,1,,dog,собака,animal,lat,canis,0.750,B
cnal,1,,belt,пояс,cloth,lat,cingulum,0.750,B
cnares,1,,cedar,кедр,plantfood,grc,kedros,0.750,A
cnas,1,,dog,собака,animal,lat,canis,1.000,B
cnaviies,1,,dog,собака,animal,lat,canis,0.750,B
cneive,1,,eight,восемь,measure,egy,khmnw,0.750,A
cnesa,1,mr-lecnes-daughters-husband,dog,собака,animal,lat,canis,1.000,B
cneunas,1,cneunas,basket,корзина,vessel,grc,kaneon,1.000,B
cnevial,2,,eight,восемь,measure,egy,khmnw,0.750,A
cnevias,1,,dog,собака,animal,lat,canis,0.750,B
cnevna,1,mr-cnevna,basket,корзина,vessel,grc,kaneon,0.750,B
cnevnal,1,,basket,корзина,vessel,grc,kaneon,0.750,B
cnevnial,1,,basket,корзина,vessel,grc,kaneon,0.750,B
cnl,4,this,belt,пояс,cloth,lat,cingulum,0.750,B
cntnam,2,,hundred,сто,measure,lat,centum,0.800,B
cntram,1,,basket,корзина,vessel,lat,canistrum,0.833,B
comavia,1,ms-comavia,eight,восемь,measure,egy,khmnw,0.750,A
comsn,1,,cumin,тмин,plantfood,akk,kamunu,0.750,A
condetios,1,mr-publioscondetiosmr-,cat,кот,animal,lat,cattus,0.800,B
corpus,1,,to-write,писать,action,grc,grapho,1.000,B
cracias,1,,copper,медь,trade,grc,chalkos,0.750,B
craiciies,1,the-greek-fellows,copper,медь,trade,grc,chalkos,0.750,B
crampesa,1,,potter,гончар,craft,grc,kerameus,0.800,B
crap,1,,to-write,писать,action,grc,grapho,1.000,B
crasniesa,1,mr-crasnies-daughters-husband,helmet,шлем,tech,grc,kranos,0.800,B
creals,1,,pig,свинья,animal,grc,choiros,0.750,B
creicos,1,,copper,медь,trade,grc,chalkos,0.750,B
crepus,1,crepus,to-write,писать,action,grc,grapho,1.000,B
cresmie,1,,oracle,оракул,ritual,grc,chresmos,0.800,B
crespes,1,,oracle,оракул,ritual,grc,chresmos,0.800,B
crespesa,1,mr-crespes-daughters-husband,oracle,оракул,ritual,grc,chresmos,0.800,B
crespu,1,,pig,свинья,animal,grc,choiros,0.750,B
creste,1,creste,letter-missive,письмо,tech,akk,egertu?,0.750,A
cretlu,1,,letter-missive,письмо,tech,akk,egertu?,0.750,A
cretnal,1,,cauldron,котёл,vessel,lat,cortina?,1.000,B
cretnial,1,mrs-cretnis,cauldron,котёл,vessel,lat,cortina?,1.000,B
crise,1,,pig,свинья,animal,grc,choiros,1.000,B
crisitha,1,chryseis,letter-missive,письмо,tech,akk,egertu?,0.750,A
cruties,2,mr-cruties,letter-missive,письмо,tech,akk,egertu?,1.000,A
crutlunias,1,,cauldron,котёл,vessel,lat,cortina?,0.800,B
cucinies,1,,dog,собака,animal,lat,canis,0.750,B
cuclnial,2,cuclni,cloak,плащ,cloth,grc,chlaina,0.750,B
cuclnies,4,cuclnies,cloak,плащ,cloth,grc,chlaina,0.750,B
cucrina,2,cucrina,letter-missive,письмо,tech,heb,iggeret,0.750,A
cuethnei,1,,jug,кувшин,vessel,grc,kothon,1.000,B
cuinuialisa,1,mr-larismrs-apismrscuinuis-daughters-hus,belt,пояс,cloth,lat,cingulum,0.750,B
cuislaniasa,1,,moon,луна,ritual,grc,selene,0.750,B
cuizlanias,1,,moon,луна,ritual,grc,selene,0.750,B
culcnasi,1,,oven,печь,tech,grc,klibanos,0.800,A
culichna,1,,cup,чаша,vessel,lat,calix,0.750,A
culnial,1,,cloak,плащ,cloth,grc,chlaina,1.000,B
culoans,1,,cloak,плащ,cloth,grc,chlaina,1.000,B
culsuni,1,ms-culsuni,key,ключ,tech,grc,kleis,0.750,B
cultana,1,,jug,кувшин,vessel,grc,kothon,0.750,B
cultanial,1,,jug,кувшин,vessel,grc,kothon,0.750,B
cultce,1,,cup,чаша,vessel,lat,calix,0.750,A
cultces,1,cultces,copper,медь,trade,grc,chalkos,0.800,B
culteces,1,,copper,медь,trade,grc,chalkos,0.800,B
cumere,4,,to-burn,жечь,action,lat,cremare,0.750,B
cumeresa,5,,to-burn,жечь,action,lat,cremare,0.750,B
cumerunia,1,cumerunia,cumin,тмин,plantfood,akk,kamunu,0.750,A
cumeruniasa,1,,helmet,шлем,tech,grc,kranos,0.800,B
cumerusias,1,mr-cumerusias,cedar,кедр,plantfood,grc,kedros,0.750,A
cumlnai,1,,cumin,тмин,plantfood,akk,kamunu,0.750,A
cumnial,2,,cumin,тмин,plantfood,akk,kamunu,1.000,A
cumniesa,1,,cumin,тмин,plantfood,akk,kamunu,1.000,A
cupes,2,cupe,sword,меч,tech,grc,xiphos,1.000,B
cuphre,1,,goat,коза,animal,lat,capra,1.000,B
cuprias,1,,goat,коза,animal,lat,capra,1.000,B
cuprus,1,,goat,коза,animal,lat,capra,1.000,B
cupsna,1,,sword,меч,tech,grc,xiphos,0.750,B
cupsnasa,4,,sword,меч,tech,grc,xiphos,0.750,B
curiunas,1,,helmet,шлем,tech,grc,kranos,1.000,B
cursni,1,,pig,свинья,animal,grc,choiros,0.750,B
curthutes,1,,cat,кот,animal,lat,cattus,0.800,B
curtxn,1,,cauldron,котёл,vessel,lat,cortina?,0.800,B
curunal,1,,spring-water,источник,geo,grc,krene,1.000,B
curunas,3,curunas,spring-water,источник,geo,grc,krene,1.000,B
curvesa,1,,beer,пиво,plantfood,lat,cervesia?,1.000,B
cusinas,1,,donkey,осёл,animal,lat,asinus,0.750,B
cusis,1,,cheese,сыр,plantfood,lat,caseus,1.000,B
cuspialisa,1,,head,голова,body,grc,kephale,0.750,B
custavial,1,,box-chest,ларь,household,lat,cista,0.750,B
cusus,1,cushu,cheese,сыр,plantfood,lat,caseus,1.000,B
cusuthuras,5,cushu family,tin,олово,trade,grc,kassiteros,0.833,B
cusuthursum,1,,tin,олово,trade,grc,kassiteros,0.833,B
cusuthurus,1,,tin,олово,trade,grc,kassiteros,0.833,B
cuthlni,1,ms-cuthlni,jug,кувшин,vessel,grc,kothon,0.750,B
cutnalisa,1,,jug,кувшин,vessel,grc,kothon,0.750,B
cutnas,2,,jug,кувшин,vessel,grc,kothon,1.000,B
cutneial,3,mrs-cutneis,jug,кувшин,vessel,grc,kothon,1.000,B
cutus,5,,comb,гребень,adorn,grc,kteis,1.000,B
cuveis,1,,beer,пиво,plantfood,lat,cervesia?,0.750,B
cvelsuial,1,of-the-goddess-cvelsui,key,ключ,tech,grc,kleis,0.750,B
cverfesa,1,,to-write,писать,action,grc,grapho,0.750,B
cvethna,2,,jug,кувшин,vessel,grc,kothon,0.750,B
cvethnal,2,,jug,кувшин,vessel,grc,kothon,0.750,B
cvintos,1,,wind,ветер,geo,lat,ventus,0.800,B
dant,1,,divination,гадание,ritual,lat,divinatio,0.750,B
decimos,2,mr-decimos,arrow,стрела,tech,grc,toxeuma,1.000,B
decreto,1,theorderof-provincialsenators,letter-missive,письмо,tech,akk,egertu?,0.750,A
dlniiaras,1,,oven,печь,tech,akk,tinuru,0.750,A
dvenas,1,,wine,вино,trade,grc,woinos,0.750,B
eansinal,1,,island,остров,social,lat,insula,0.750,B
ecamutna,1,seethe-sarcophagus,cumin,тмин,plantfood,akk,kamunu,0.750,A
echatna,1,,jug,кувшин,vessel,grc,kothon,1.000,B
echatnas,1,,jug,кувшин,vessel,grc,kothon,1.000,B
echtur,1,,lyre,лира,music,grc,kithara,1.000,B
eclth,1,this,knife,нож,tech,lat,culter,0.750,B
ecnate,1,,hundred,сто,measure,lat,centum,0.750,B
ecnatie,2,ecnatie,hundred,сто,measure,lat,centum,0.750,B
ecnatios,1,,dog,собака,animal,lat,canis,0.750,B
ecnatna,2,mr-ecnatna,jug,кувшин,vessel,grc,kothon,0.750,B
ecnatnal,1,,jug,кувшин,vessel,grc,kothon,0.750,B
ecnatnas,5,mr-arnthsmr-ecnatnasmr-ramthas-daughters,jug,кувшин,vessel,grc,kothon,0.750,B
ecnatnasa,1,,jug,кувшин,vessel,grc,kothon,0.750,B
ecnatne,1,mr-ecnatne,jug,кувшин,vessel,grc,kothon,0.750,B
ecnatni,1,ms-ecnati,jug,кувшин,vessel,grc,kothon,0.750,B
ecnatnial,1,,jug,кувшин,vessel,grc,kothon,0.750,B
ecnatnu,1,,jug,кувшин,vessel,grc,kothon,0.750,B
ecotillie,1,,star,звезда,ritual,lat,stella,0.750,B
eetlume,1,,jar,сосуд-пифос,vessel,lat,dolium,1.000,B
eferavas,1,,small,малый,quality,lat,parvus,1.000,B
ehamaithi,1,,cloak,плащ,cloth,grc,himation,0.750,B
eicezrt,1,mrs-remzneis,letter-missive,письмо,tech,akk,egertu?,0.750,A
eiseras,1,gods,iron,железо,trade,grc,sideros,0.750,B
eisnevc,1,,old,старый,quality,lat,senex,0.750,B
eizenes,1,mr-eizenes,donkey,осёл,animal,lat,asinus,1.000,B
eknatna,1,,jug,кувшин,vessel,grc,kothon,0.750,B
eliunts,1,,incense,благовоние,trade,grc,libanos,0.750,B
elssi,1,x times,bee,пчела,animal,grc,melissa,0.750,B
emulen,1,,apple,яблоко,plantfood,grc,melon,1.000,B
enascla,1,,shekel-weight,сикль,tech,akk,shiqlu,0.750,A
enaziulas,1,,island,остров,social,lat,insula,1.000,B
enearcna,1,mr-ene,queen,царица,social,lat,regina,0.750,B
enikes,1,,spear,копьё,tech,grc,enchos,1.000,B
entetais,1,of-mr-entetaie,cat,кот,animal,lat,cattus,0.750,B
enunte,1,,perfume-oil,ароматное масло,trade,lat,unguentum,0.750,B
eplesa,1,,cat,кот,animal,lat,feles,1.000,B
epnicei,1,,tablet,табличка,tech,grc,pinax,1.000,B
epramod,1,,door,дверь,tech,lat,porta,0.750,B
eprus,1,,cypress,кипарис,plantfood,heb,berosh,1.000,A
erantra,1,mr-erantra,to-sell,продавать,action,lat,vendere,0.750,B
erikian,1,my-horse-erikian,queen,царица,social,lat,regina,1.000,B
ermania,1,hermione,purple dye,пурпур,trade,heb,argaman,0.750,A
esales,1,,three,три,measure,akk,shalash,1.000,A
escharzial,1,,axe,топор,tech,lat,securis,1.000,B
eschath,1,,nut-almond,миндаль,plantfood,akk,shiqdu?,1.000,A
eschathce,8,,nut-almond,миндаль,plantfood,akk,shiqdu?,0.750,A
eslem,4,,chair-throne,кресло-трон,household,lat,solium,1.000,B
eslz,1,twice,three,три,measure,akk,shalash,1.000,A
esmen,2,hic,eight,восемь,measure,akk,samane,1.000,A
estlacial,1,,star,звезда,ritual,lat,stella,0.800,B
estrei,3,,star,звезда,ritual,grc,aster,1.000,B
estrel,1,,star,звезда,ritual,grc,aster,1.000,B
esvis,1,,slave,раб,social,lat,servus,0.750,B
esvisc,3,,slave,раб,social,lat,servus,0.750,B
esvitn,2,,bone,кость,body,grc,osteon,0.750,B
etchusa,1,mrs-anisismr-larissmr-etchus-daughtershu,wall,стена,tech,grc,teichos,1.000,B
eteras,1,,ox/bull,бык,animal,grc,tauros,1.000,A
etertic,2,,wheat,пшеница,plantfood,lat,triticum,0.800,B
ethras,1,,ox/bull,бык,animal,grc,tauros,1.000,A
ethrisna,1,,ox/bull,бык,animal,grc,tauros,0.750,A
ethrse,13,,ox/bull,бык,animal,grc,tauros,1.000,A
ethurpa,1,themuseeuterpe,table,стол,household,grc,trapeza,0.750,B
etnam,34,,gift,дар,social,lat,donum,1.000,B
etrias,1,,ox/bull,бык,animal,grc,tauros,1.000,A
etrinthi,1,,gift,дар,social,grc,doron,0.750,B
etron,1,,gift,дар,social,grc,doron,1.000,B
etrual,1,,ladle-dipper,черпак,vessel,lat,trulla,0.750,B
etrusca,1,,ox/bull,бык,animal,grc,tauros,0.750,A
etruscas,1,,wheel,колесо,tech,grc,trochos,0.800,B
euntke,1,,divination,гадание,ritual,grc,mantike,0.750,B
euturpa,2,themuseeuturpe,table,стол,household,grc,trapeza,0.750,B
evantra,1,mr-evantra,to-sell,продавать,action,lat,vendere,1.000,B
evotenosio,1,,wine,вино,trade,grc,woinos,0.750,B
evrfia,1,,word,слово,social,lat,verbum,0.750,B
evtes,1,mr-evtes,old,старый,quality,lat,vetus,1.000,B
evzicle,1,eteocles,shekel-weight,сикль,tech,akk,shiqlu,0.750,A
ezpus,1,etspus,shield,щит,tech,grc,aspis,1.000,B
facutura,1,,father,отец,kinship,grc,pater,0.750,A
fafarpi,1,mr-fafarposs,to-drink,пить,action,lat,bibere,0.750,B
fafarpios,1,mr-fafarpios,to-drink,пить,action,lat,bibere,0.750,B
falaieal,1,,fuller,сукновал,craft,lat,fullo,1.000,B
falsnesa,1,,cat,кот,animal,lat,feles,0.750,B
faltuneial,1,mrs-faltuneis,river,река,geo,lat,flumen,0.750,B
faltunetes,1,mr-faltunetes,brick,кирпич,tech,grc,plinthos,0.833,B
faltunies,1,mrs-ancaris,river,река,geo,lat,flumen,0.750,B
faluthras,1,,father,отец,kinship,grc,pater,0.750,A
famfes,1,,altar,алтарь,social,grc,bomos,0.750,B
famfna,2,,to-take,брать,action,grc,lambano,0.750,B
famfnial,1,,to-take,брать,action,grc,lambano,0.750,B
famn,1,phaon,river,река,geo,lat,flumen,0.750,B
fanachi,1,for-msfanachi,tablet,табличка,tech,grc,pinax,1.000,B
fanacnal,1,fanacnei,tablet,табличка,tech,grc,pinax,0.750,B
fanacnial,1,,tablet,табличка,tech,grc,pinax,0.750,B
fansi,1,,oven,печь,tech,grc,ipnos,1.000,A
fanunias,1,,cumin,тмин,plantfood,egy,tpnn?,0.750,A
fanusialisa,1,,king,царь,social,grc,basileus,0.800,B
fapial,1,mr-aulemrs-fapis,fibula-pin,фибула,adorn,lat,fibula,1.000,B
fapile,1,mr-fapile,fibula-pin,фибула,adorn,lat,fibula,1.000,B
fapirnial,1,,to-drink,пить,action,lat,bibere,0.750,B
fapres,1,,to-drink,пить,action,lat,bibere,1.000,B
faprnas,1,mr-aulemr-faprnasslave,oven,печь,tech,lat,furnus,0.800,A
farfan,2,,sheep,овца,animal,grc,probaton,0.800,B
farpitia,1,,sheep,овца,animal,grc,probaton,0.800,B
farpitias,1,,sheep,овца,animal,grc,probaton,0.800,B
farsi,1,,cypress,кипарис,plantfood,heb,berosh,1.000,A
farthan,1,,sheep,овца,animal,grc,probaton,0.800,B
farthne,1,,sheep,овца,animal,grc,probaton,0.800,B
faruialisa,1,,cypress,кипарис,plantfood,heb,berosh,0.750,A
fasci,1,,fish,рыба,animal,lat,piscis,0.750,B
faseic,3,,fish,рыба,animal,lat,piscis,0.750,B
faseis,2,,husband,муж,kinship,grc,posis,1.000,B
fasl,1,,queen,царица,social,grc,basileia,1.000,B
fasle,1,,queen,царица,social,grc,basileia,1.000,B
fast,2,,letter-missive,письмо,tech,grc,epistole,0.750,A
faste,1,mrs-lurnimr-larissmr-larts-sons-wifemr-l,letter-missive,письмо,tech,grc,epistole,0.750,A
fasthi,1,ms-fasthi,letter-missive,письмо,tech,grc,epistole,0.750,A
fasthiia,1,,letter-missive,письмо,tech,grc,epistole,0.750,A
fasti,14,,letter-missive,письмо,tech,grc,epistole,0.750,A
fastia,20,mr-fastia,letter-missive,письмо,tech,grc,epistole,0.750,A
fastial,2,,letter-missive,письмо,tech,grc,epistole,1.000,A
fastianas,1,,festival-day,праздник,time,lat,festus,0.800,B
fastias,5,mr-fastias,festival-day,праздник,time,lat,festus,1.000,B
fastisa,1,,festival-day,праздник,time,lat,festus,1.000,B
fastiu,1,,letter-missive,письмо,tech,grc,epistole,0.750,A
fathlialus,1,,earth,земля,ritual,lat,tellus,0.800,B
fathna,1,thesatyrplayfulness,comb,гребень,adorn,lat,pecten,0.750,B
fatnies,1,,comb,гребень,adorn,lat,pecten,0.750,B
favrenies,1,,oven,печь,tech,lat,furnus,0.800,A
favstos,1,,festival-day,праздник,time,lat,festus,0.800,B
fchlll,1,,potter,гончар,craft,lat,figulus,0.750,B
feisalna,1,,king,царь,social,grc,basileus,0.750,B
felces,2,mr-felces,axe,топор,tech,grc,pelekys,0.800,B
feleial,1,,fuller,сукновал,craft,lat,fullo,1.000,B
felena,1,helenalabelledsoonthebox,river,река,geo,lat,flumen,0.750,B
felenaia,1,helena,river,река,geo,lat,flumen,0.750,B
felene,1,helena,river,река,geo,lat,flumen,0.750,B
felesa,3,,cat,кот,animal,lat,feles,1.000,B
felial,5,mrs-felis,fuller,сукновал,craft,lat,fullo,1.000,B
felialisa,1,,fuller,сукновал,craft,lat,fullo,1.000,B
felies,1,mr-felies,cat,кот,animal,lat,feles,1.000,B
felifathna,1,,sheep,овца,animal,grc,probaton,0.800,B
felmu,2,mr-larisfelmumr-larths,feast,пир,social,lat,epulum,1.000,B
felmuial,4,,feast,пир,social,lat,epulum,1.000,B
felmuialisa,1,,enemy,враг,social,grc,polemios,0.800,B
felscial,1,,cat,кот,animal,lat,feles,0.750,B
felsineial,1,,cat,кот,animal,lat,feles,0.750,B
felsnas,1,felsnas,cat,кот,animal,lat,feles,0.750,B
felsni,1,felsni,cat,кот,animal,lat,feles,0.750,B
felsuial,1,,cat,кот,animal,lat,feles,1.000,B
feluskes,1,felushke,fish,рыба,animal,lat,piscis,0.800,B
felusnial,1,,cat,кот,animal,lat,feles,0.750,B
felusnie,1,,cat,кот,animal,lat,feles,0.750,B
feluz,1,,cat,кот,animal,lat,feles,1.000,B
felvereal,1,mr-aulemrs-semthnisfreedman,rain,дождь,geo,lat,pluvia,0.750,B
felves,1,,rain,дождь,geo,lat,pluvia,1.000,B
felzas,1,,cat,кот,animal,lat,feles,1.000,B
femnas,1,,oven,печь,tech,grc,ipnos,0.750,A
ferce,1,,dowry,приданое,social,grc,proix,1.000,B
fercele,1,,jug,кувшин,vessel,grc,prochoos,0.750,B
ferchle,1,,jug,кувшин,vessel,grc,prochoos,0.750,B
fercle,8,theherohercules,jug,кувшин,vessel,grc,prochoos,0.750,B
fercles,1,theherohercules,jug,кувшин,vessel,grc,prochoos,0.800,B
fercnas,1,,oven,печь,tech,lat,furnus,0.800,A
ferecele,2,theherohercules,jug,кувшин,vessel,grc,prochoos,0.750,B
ferene,1,,fibula-pin,фибула,adorn,grc,perone,1.000,B
ferinas,1,,fibula-pin,фибула,adorn,grc,perone,1.000,B
ferine,1,,fibula-pin,фибула,adorn,grc,perone,1.000,B
ferinial,2,,fibula-pin,фибула,adorn,grc,perone,1.000,B
ferinialisa,1,,oven,печь,tech,lat,furnus,0.800,A
ferinie,1,,fibula-pin,фибула,adorn,grc,perone,1.000,B
ferinisa,1,,oven,печь,tech,lat,furnus,1.000,A
ferintie,1,ferinties,oven,печь,tech,lat,furnus,0.750,A
ferinties,1,ferinties,oven,печь,tech,lat,furnus,0.800,A
ferkle,1,theherohercules,jug,кувшин,vessel,grc,prochoos,0.750,B
ferkole,1,thegoddessminerva,jug,кувшин,vessel,grc,prochoos,0.750,B
ferlc,1,,dowry,приданое,social,grc,proix,0.750,B
fermelusa,1,,to-buy,покупать,action,grc,priamai,0.750,B
fermenas,1,,oven,печь,tech,lat,furnus,0.800,A
fermi,1,,to-buy,покупать,action,grc,priamai,1.000,B
fermial,1,,to-buy,покупать,action,grc,priamai,1.000,B
fermne,1,,cypress,кипарис,plantfood,akk,shurmenu,0.750,A
fermneial,1,mrs-fermneis,cypress,кипарис,plantfood,akk,shurmenu,0.750,A
ferse,4,perseus,cypress,кипарис,plantfood,heb,berosh,1.000,A
fersu,1,,cypress,кипарис,plantfood,heb,berosh,1.000,A
fetarias,1,,father,отец,kinship,grc,pater,1.000,A
fetathasa,1,,jar,сосуд-пифос,vessel,grc,pithos,0.750,B
fetharia,1,fetharia,father,отец,kinship,grc,pater,1.000,A
fethna,1,,comb,гребень,adorn,lat,pecten,0.750,B
fetius,1,,jar,сосуд-пифос,vessel,grc,pithos,1.000,B
feusinal,1,raufemrs-usinis,letter-missive,письмо,tech,grc,epistole,0.750,A
filarunia,1,,lily,лилия,plantfood,grc,leirion,0.750,B
filpir,1,,purple dye,пурпур,trade,lat,purpura,0.750,A
fintha,1,,five,пять,measure,grc,pente,1.000,B
finthial,3,finthial,five,пять,measure,grc,pente,1.000,B
finthu,1,,five,пять,measure,grc,pente,1.000,B
fipineial,1,,fibula-pin,фибула,adorn,lat,fibula,0.750,B
firin,4,,fibula-pin,фибула,adorn,grc,perone,1.000,B
fistrie,1,andbecauseanactorwascalledfistrieamongst,dove,голубь,animal,grc,peristera,0.800,B
fiuls,1,,cat,кот,animal,lat,feles,1.000,B
flanach,1,,tablet,табличка,tech,grc,pinax,0.750,B
flastia,1,,cat,кот,animal,lat,feles,0.750,B
flave,5,,rain,дождь,geo,lat,pluvia,1.000,B
flaves,1,,rain,дождь,geo,lat,pluvia,1.000,B
flavienas,1,flavienas,river,река,geo,lat,flumen,0.750,B
flereri,1,,to-carry,нести,action,lat,ferre,0.750,B
fleres,8,divine spirit,cypress,кипарис,plantfood,heb,berosh,0.750,A
flers,1,,cypress,кипарис,plantfood,heb,berosh,0.750,A
flezreial,1,,cat,кот,animal,lat,feles,0.750,B
flleres,1,,war,война,social,lat,bellum,0.750,B
flunatheu,1,flunatheu,brick,кирпич,tech,grc,plinthos,0.800,B
fmirethu,1,fmirethu,door,дверь,tech,lat,porta,0.750,B
fratuce,1,incised,door,дверь,tech,lat,porta,0.750,B
frauchni,1,ms-frauchni,jug,кувшин,vessel,grc,prochoos,0.750,B
fraucnal,1,,jug,кувшин,vessel,grc,prochoos,0.750,B
fraucneial,1,,jug,кувшин,vessel,grc,prochoos,0.750,B
fraucni,2,,jug,кувшин,vessel,grc,prochoos,0.750,B
fraucnial,4,,jug,кувшин,vessel,grc,prochoos,0.750,B
fraucnies,1,mr-fraucnies,oven,печь,tech,lat,furnus,0.800,A
fraucniesa,2,mr-fraucnies-daughtershusband,oven,печь,tech,lat,furnus,0.800,A
fraunial,2,,fibula-pin,фибула,adorn,grc,perone,1.000,B
fraunialisa,1,,oven,печь,tech,lat,furnus,0.800,A
frauniesa,2,fraunies-daughters-husband,fibula-pin,фибула,adorn,grc,perone,1.000,B
fraunis,1,the-nameless-slavegirlsdaughters-husband,fibula-pin,фибула,adorn,grc,perone,1.000,B
fravniesa,1,,oven,печь,tech,lat,furnus,0.800,A
frima,1,,to-buy,покупать,action,grc,priamai,1.000,B
frutie,1,,door,дверь,tech,lat,porta,1.000,B
ftchna,1,,bow,лук-оружие,tech,grc,toxon,0.750,B
fufalseial,1,mrs-fufalseis,people-community,народ,social,lat,populus,1.000,B
fufle,1,fufle,fibula-pin,фибула,adorn,lat,fibula,1.000,B
fufles,1,,fibula-pin,фибула,adorn,lat,fibula,1.000,B
fuflu,1,,fibula-pin,фибула,adorn,lat,fibula,1.000,B
fufluna,1,,people-community,народ,social,lat,populus,0.750,B
fufluni,1,thegodbacchus,people-community,народ,social,lat,populus,0.750,B
fufluns,6,thegodbacchus,people-community,народ,social,lat,populus,0.800,B
fuflunus,1,the-god-bacchus,people-community,народ,social,lat,populus,0.800,B
fuflunuzi,1,,people-community,народ,social,lat,populus,0.800,B
fuflus,1,,fibula-pin,фибула,adorn,lat,fibula,1.000,B
fulchenas,1,,axe,топор,tech,grc,pelekys,0.800,B
fulchniies,1,,axe,топор,tech,grc,pelekys,0.800,B
fulchuniesi,1,,axe,топор,tech,grc,pelekys,0.800,B
