word_folded,forms,freq_clean,sources,n_sources,n_artifact_clusters,already_present_in_etp_pos,pred_case,score_margin_nonprobabilistic,validation_precision_matched,validation_precision_95ci_low,validation_precision_95ci_high,validation_predicted_n_matched,tir_suffix_train_support_total,tir_suffix_train_support_pred_class,tir_suffix_train_class_counts,shared_raetic_suffix_feature
spur,σpur spur,2,CIEW-CIE ETP,2,2,False,NOM,0.281851,1.000000,0.889745,1.000000,31,1,1,NOM:1,2:ur
vezra,vezra,2,CIEP ETP,2,2,False,NOM,0.281851,1.000000,0.889745,1.000000,31,1,1,NOM:1,2:ra
pute,pute,8,CIEW,1,1,False,NOM,0.281851,1.000000,0.889745,1.000000,31,1,1,NOM:1,2:te
velthur,velthur,7,CIEP,1,7,False,NOM,0.281851,1.000000,0.889745,1.000000,31,1,1,NOM:1,2:ur
kaku,cacu,3,CIEP,1,3,False,NOM,0.281851,1.000000,0.889745,1.000000,31,1,1,NOM:1,2:ku
ekra,ekra,2,CIEP,1,2,False,NOM,0.281851,1.000000,0.889745,1.000000,31,1,1,NOM:1,2:ra
esera,esera,2,CIEW,1,1,False,NOM,0.281851,1.000000,0.889745,1.000000,31,1,1,NOM:1,2:ra
etera,etera,2,CIEW-CIE,1,2,False,NOM,0.281851,1.000000,0.889745,1.000000,31,1,1,NOM:1,2:ra
kastur,kastur,2,CIEP,1,2,False,NOM,0.281851,1.000000,0.889745,1.000000,31,1,1,NOM:1,2:ur
latiθe,latiθe,2,CIEW-CIE,1,2,False,NOM,0.281851,1.000000,0.889745,1.000000,31,1,1,NOM:1,2:θe
mama,mama,2,CIEP,1,2,False,NOM,0.281851,1.000000,0.889745,1.000000,31,1,1,NOM:1,2:ma
metli,metli,2,CIEP,1,2,False,NOM,0.281851,1.000000,0.889745,1.000000,31,1,1,NOM:1,2:li
minate,minate,2,CIEP,1,2,False,NOM,0.281851,1.000000,0.889745,1.000000,31,1,1,NOM:1,2:te
nuθe,nuθe,2,ETP,1,1,True,NOM,0.281851,1.000000,0.889745,1.000000,31,1,1,NOM:1,2:θe
pleura,pleura,2,CIEW-CIE,1,2,False,NOM,0.281851,1.000000,0.889745,1.000000,31,1,1,NOM:1,2:ra
preku,precu,2,CIEP,1,2,False,NOM,0.281851,1.000000,0.889745,1.000000,31,1,1,NOM:1,2:ku
sethra,sethra,2,CIEP,1,2,False,NOM,0.281851,1.000000,0.889745,1.000000,31,1,1,NOM:1,2:ra
thuma,thuma,2,CIEP,1,1,False,NOM,0.281851,1.000000,0.889745,1.000000,31,1,1,NOM:1,2:ma
urinate,urinate,2,CIEW-CIE,1,2,False,NOM,0.281851,1.000000,0.889745,1.000000,31,1,1,NOM:1,2:te
