word,freq,pred_class,prob_raw,prob_cal,p_NAME-F,p_NAME-M,p_OTHER,p_THEO,p_VERB
aanth,1,OTHER,0.932,0.663,0.000,0.068,0.932,0.000,0.000
aca,1,OTHER,0.978,0.663,0.002,0.020,0.978,0.000,0.000
acap,1,OTHER,0.907,0.663,0.004,0.089,0.907,0.000,0.000
acarcelini,1,NAME-F,0.979,0.663,0.979,0.012,0.009,0.000,0.000
acarial,1,NAME-F,0.997,0.663,0.997,0.002,0.000,0.000,0.000
acev,1,OTHER,0.990,0.663,0.001,0.009,0.990,0.000,0.000
acevzfthiklmnpsrstufch,1,OTHER,0.998,0.663,0.000,0.000,0.998,0.002,0.000
acevzthikl,1,OTHER,0.971,0.663,0.025,0.004,0.971,0.000,0.000
achalu,1,OTHER,0.977,0.663,0.000,0.022,0.977,0.000,0.000
achleitruiestthesthufarce,1,OTHER,1.000,0.663,0.000,0.000,1.000,0.000,0.000
achmenrun,1,OTHER,1.000,0.663,0.000,0.000,1.000,0.000,0.000
achratinialisa,1,NAME-F,0.976,0.663,0.976,0.023,0.000,0.000,0.000
achrum,1,OTHER,0.999,0.663,0.000,0.001,0.999,0.000,0.000
achuias,1,NAME-M,0.971,0.663,0.000,0.971,0.028,0.000,0.000
achuis,1,OTHER,0.911,0.663,0.002,0.088,0.911,0.000,0.000
achunial,2,NAME-F,0.997,0.663,0.997,0.003,0.000,0.000,0.000
aclineial,1,NAME-F,1.000,0.663,1.000,0.000,0.000,0.000,0.000
acnaicesa,1,NAME-M,0.949,0.663,0.045,0.949,0.006,0.000,0.000
acnaine,1,OTHER,0.908,0.663,0.006,0.085,0.908,0.000,0.000
acnanas,2,NAME-M,0.969,0.663,0.000,0.969,0.031,0.000,0.000
acnanasa,3,NAME-M,0.963,0.663,0.025,0.963,0.012,0.000,0.000
acnatrualc,1,OTHER,0.912,0.663,0.039,0.049,0.912,0.000,0.000
acrialsm,1,OTHER,0.943,0.663,0.054,0.003,0.943,0.000,0.000
acsial,1,NAME-F,0.996,0.663,0.996,0.004,0.000,0.000,0.000
acuch,1,OTHER,0.998,0.663,0.000,0.002,0.998,0.000,0.000
aczt,1,OTHER,0.972,0.663,0.003,0.025,0.972,0.000,0.000
aeiu,1,OTHER,0.902,0.663,0.000,0.098,0.902,0.000,0.000
aesa,1,NAME-M,0.980,0.663,0.001,0.980,0.019,0.000,0.000
aeser,1,OTHER,0.979,0.663,0.000,0.021,0.979,0.000,0.000
aeu,1,OTHER,0.980,0.663,0.000,0.019,0.980,0.000,0.000
aevzfithiklmnpsrstufchf,1,OTHER,0.992,0.663,0.000,0.000,0.992,0.008,0.000
afatrunie,1,NAME-M,0.920,0.663,0.000,0.920,0.080,0.000,0.000
afie,1,NAME-M,0.949,0.663,0.000,0.949,0.051,0.000,0.000
afnas,1,NAME-M,0.999,0.663,0.000,0.999,0.001,0.000,0.000
afuna,3,NAME-M,0.990,0.663,0.000,0.990,0.009,0.000,0.000
afunas,1,NAME-M,0.997,0.663,0.000,0.997,0.003,0.000,0.000
afuneial,1,NAME-F,0.964,0.663,0.964,0.036,0.000,0.000,0.000
afunes,1,NAME-M,0.995,0.663,0.000,0.995,0.005,0.000,0.000
ainal,1,NAME-F,0.985,0.663,0.985,0.015,0.000,0.000,0.000
ainial,1,NAME-F,0.993,0.663,0.993,0.007,0.000,0.000,0.000
ainias,1,NAME-M,0.996,0.663,0.000,0.996,0.004,0.000,0.000
aisecetati,1,NAME-F,0.937,0.663,0.937,0.039,0.024,0.000,0.000
aiseras,1,NAME-M,0.996,0.663,0.000,0.996,0.004,0.000,0.000
aithas,1,NAME-M,0.927,0.663,0.000,0.927,0.073,0.000,0.000
aitnepethi,1,NAME-F,0.995,0.663,0.995,0.005,0.000,0.000,0.000
akrathe,1,OTHER,0.999,0.663,0.000,0.001,0.999,0.000,0.000
alfial,1,NAME-F,0.984,0.663,0.984,0.015,0.000,0.000,0.000
aliethi,1,NAME-F,0.957,0.663,0.957,0.033,0.010,0.000,0.000
alixentrom,1,OTHER,0.995,0.663,0.005,0.000,0.995,0.000,0.000
almni,1,NAME-F,0.926,0.663,0.926,0.049,0.025,0.000,0.000
alnei,1,NAME-F,0.999,0.663,0.999,0.000,0.001,0.000,0.000
alnias,1,NAME-M,0.997,0.663,0.002,0.997,0.001,0.000,0.000
alpa,1,OTHER,0.952,0.663,0.008,0.040,0.952,0.000,0.000
alpiuial,1,NAME-F,0.996,0.663,0.996,0.004,0.000,0.000,0.000
alpnas,1,NAME-M,0.992,0.663,0.000,0.992,0.008,0.000,0.000
alpuialisa,1,NAME-F,0.911,0.663,0.911,0.089,0.000,0.000,0.000
alsinei,1,NAME-F,1.000,0.663,1.000,0.000,0.000,0.000,0.000
althras,1,NAME-M,0.988,0.663,0.000,0.988,0.011,0.000,0.000
althrasa,1,NAME-M,0.971,0.663,0.028,0.971,0.001,0.000,0.000
althrnas,1,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
aluniial,1,NAME-F,0.991,0.663,0.991,0.009,0.000,0.000,0.000
ame,5,OTHER,0.939,0.663,0.000,0.061,0.939,0.000,0.000
amfare,1,OTHER,0.999,0.663,0.000,0.001,0.999,0.000,0.000
amnei,1,NAME-F,0.972,0.663,0.972,0.015,0.014,0.000,0.000
amthnial,2,NAME-F,0.980,0.663,0.980,0.020,0.000,0.000,0.000
anainial,2,NAME-F,0.992,0.663,0.992,0.008,0.000,0.000,0.000
anasa,1,NAME-M,0.987,0.663,0.013,0.987,0.000,0.000,0.000
anasis,1,NAME-M,0.997,0.663,0.001,0.997,0.003,0.000,0.000
anasnies,1,NAME-M,0.998,0.663,0.000,0.998,0.002,0.000,0.000
ancarial,4,NAME-F,0.976,0.663,0.976,0.024,0.000,0.000,0.000
ancarialisa,2,NAME-F,0.955,0.663,0.955,0.045,0.000,0.000,0.000
ancarias,2,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
ancarna,1,NAME-M,0.969,0.663,0.027,0.969,0.003,0.000,0.000
ancinies,2,NAME-M,0.999,0.663,0.000,0.999,0.001,0.000,0.000
ane,2,NAME-M,0.959,0.663,0.002,0.959,0.040,0.000,0.000
aneies,1,NAME-M,0.995,0.663,0.000,0.995,0.005,0.000,0.000
aneina,1,NAME-M,0.939,0.663,0.009,0.939,0.053,0.000,0.000
aneinal,1,NAME-F,0.993,0.663,0.993,0.007,0.000,0.000,0.000
aneineialisa,1,NAME-F,0.982,0.663,0.982,0.018,0.000,0.000,0.000
aneinial,1,NAME-F,0.999,0.663,0.999,0.001,0.000,0.000,0.000
anes,2,NAME-M,0.995,0.663,0.000,0.995,0.005,0.000,0.000
anetnial,1,NAME-F,0.994,0.663,0.994,0.006,0.000,0.000,0.000
anfe,1,OTHER,0.953,0.663,0.001,0.046,0.953,0.000,0.000
anial,1,NAME-F,0.981,0.663,0.981,0.018,0.000,0.000,0.000
anie,2,NAME-M,0.966,0.663,0.000,0.966,0.034,0.000,0.000
aniesa,3,NAME-M,0.999,0.663,0.001,0.999,0.000,0.000,0.000
aninal,1,NAME-F,0.953,0.663,0.953,0.046,0.000,0.000,0.000
aninei,1,NAME-F,0.994,0.663,0.994,0.005,0.000,0.000,0.000
aniusa,1,NAME-M,0.984,0.663,0.016,0.984,0.000,0.000,0.000
ankvenesankariateveiiae,1,NAME-M,0.957,0.663,0.001,0.957,0.042,0.000,0.000
ansinas,1,NAME-M,0.988,0.663,0.000,0.988,0.012,0.000,0.000
antinal,1,NAME-F,0.984,0.663,0.984,0.016,0.000,0.000,0.000
apalus,2,NAME-M,0.961,0.663,0.000,0.961,0.039,0.000,0.000
apanes,1,NAME-M,0.991,0.663,0.000,0.991,0.009,0.000,0.000
apatrui,1,OTHER,0.941,0.663,0.041,0.018,0.941,0.000,0.000
apcus,1,NAME-M,0.977,0.663,0.000,0.977,0.023,0.000,0.000
apenas,1,NAME-M,0.999,0.663,0.000,0.999,0.001,0.000,0.000
apianas,1,NAME-M,0.998,0.663,0.000,0.998,0.002,0.000,0.000
apicneialisa,1,NAME-F,0.961,0.663,0.961,0.039,0.000,0.000,0.000
apinasepi,1,NAME-M,0.961,0.663,0.032,0.961,0.008,0.000,0.000
apnies,2,NAME-M,0.991,0.663,0.000,0.991,0.009,0.000,0.000
aprnasa,1,NAME-M,0.994,0.663,0.005,0.994,0.000,0.000,0.000
aprthnas,1,NAME-M,0.999,0.663,0.000,0.999,0.001,0.000,0.000
apunas,3,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
ara,1,NAME-M,0.962,0.663,0.002,0.962,0.036,0.000,0.000
aranth,1,NAME-M,0.966,0.663,0.000,0.966,0.034,0.000,0.000
aranthia,2,NAME-M,0.972,0.663,0.025,0.972,0.003,0.000,0.000
aranthial,1,NAME-F,0.934,0.663,0.934,0.066,0.000,0.000,0.000
aranthiatefu,1,NAME-M,0.942,0.663,0.007,0.942,0.051,0.000,0.000
arathial,1,NAME-F,0.987,0.663,0.987,0.013,0.000,0.000,0.000
arathiale,3,NAME-M,0.981,0.663,0.001,0.981,0.018,0.000,0.000
arazas,1,NAME-M,0.995,0.663,0.000,0.995,0.005,0.000,0.000
arcenziom,1,OTHER,0.997,0.663,0.000,0.002,0.997,0.000,0.000
arfthial,1,NAME-F,0.997,0.663,0.997,0.003,0.000,0.000,0.000
arianas,1,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
arices,1,NAME-M,0.997,0.663,0.000,0.997,0.003,0.000,0.000
aricin,1,NAME-M,0.905,0.663,0.023,0.905,0.073,0.000,0.000
arinas,2,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
ariodantes,7,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
arithas,1,NAME-M,0.998,0.663,0.000,0.998,0.002,0.000,0.000
armeal,1,NAME-F,0.958,0.663,0.958,0.041,0.001,0.000,0.000
armnial,1,NAME-F,0.986,0.663,0.986,0.014,0.000,0.000,0.000
arnias,1,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
arnkupfk,1,NAME-M,0.901,0.663,0.028,0.901,0.070,0.000,0.000
arnsa,1,NAME-M,0.971,0.663,0.028,0.971,0.000,0.000,0.000
arnthaes,1,NAME-M,0.986,0.663,0.000,0.986,0.014,0.000,0.000
arnthalitlepumpus,1,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
arnthallarcesxxxa,1,NAME-M,0.904,0.663,0.085,0.904,0.011,0.000,0.000
arnthei,1,NAME-F,0.947,0.663,0.947,0.045,0.008,0.000,0.000
arntheiales,1,NAME-M,0.999,0.663,0.000,0.999,0.001,0.000,0.000
arnthias,1,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
arnthiclauniuivetina,1,NAME-M,0.992,0.663,0.008,0.992,0.000,0.000,0.000
arnthivthv,1,NAME-M,0.981,0.663,0.010,0.981,0.009,0.000,0.000
arnthnial,1,NAME-F,0.968,0.663,0.968,0.032,0.000,0.000,0.000
arnthunas,1,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
arnthusa,3,NAME-M,0.998,0.663,0.002,0.998,0.000,0.000,0.000
arnthvl,1,NAME-M,0.903,0.663,0.075,0.903,0.023,0.000,0.000
arnti,1,NAME-F,0.933,0.663,0.933,0.066,0.001,0.000,0.000
arntial,1,NAME-F,0.990,0.663,0.990,0.010,0.000,0.000,0.000
arnties,1,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
arntlial,1,NAME-F,0.990,0.663,0.990,0.010,0.000,0.000,0.000
arntnal,1,NAME-F,0.962,0.663,0.962,0.038,0.000,0.000,0.000
arntneial,1,NAME-F,0.997,0.663,0.997,0.003,0.000,0.000,0.000
arntnial,6,NAME-F,0.984,0.663,0.984,0.016,0.000,0.000,0.000
arntnialisa,1,NAME-F,0.947,0.663,0.947,0.053,0.000,0.000,0.000
arntnies,1,NAME-M,0.999,0.663,0.000,0.999,0.001,0.000,0.000
arntniesa,1,NAME-M,0.999,0.663,0.001,0.999,0.000,0.000,0.000
arntsalie,1,NAME-M,0.985,0.663,0.008,0.985,0.006,0.000,0.000
arnuauete,1,NAME-M,0.924,0.663,0.019,0.924,0.058,0.000,0.000
arnzas,1,NAME-M,0.999,0.663,0.000,0.999,0.001,0.000,0.000
arnziu,1,NAME-M,0.996,0.663,0.001,0.996,0.004,0.000,0.000
arpatislanefelznal,1,NAME-F,0.978,0.663,0.978,0.022,0.000,0.000,0.000
arrvntis,2,NAME-M,0.993,0.663,0.005,0.993,0.002,0.000,0.000
artes,1,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
arthes,1,NAME-M,0.994,0.663,0.000,0.994,0.006,0.000,0.000
artmsial,1,NAME-F,0.976,0.663,0.976,0.023,0.000,0.000,0.000
artnas,1,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
artneial,1,NAME-F,0.996,0.663,0.996,0.004,0.000,0.000,0.000
artneialisa,1,NAME-F,0.983,0.663,0.983,0.017,0.000,0.000,0.000
artnial,2,NAME-F,0.992,0.663,0.992,0.008,0.000,0.000,0.000
arunithla,1,NAME-M,0.971,0.663,0.022,0.971,0.006,0.000,0.000
arunth,1,NAME-M,0.967,0.663,0.001,0.967,0.032,0.000,0.000
arunthia,1,NAME-M,0.920,0.663,0.072,0.920,0.008,0.000,0.000
arusanial,1,NAME-F,0.932,0.663,0.932,0.068,0.000,0.000,0.000
arvntis,1,NAME-M,0.964,0.663,0.004,0.964,0.032,0.000,0.000
arz,1,NAME-M,0.941,0.663,0.026,0.941,0.034,0.000,0.000
arza,1,NAME-M,0.995,0.663,0.004,0.995,0.001,0.000,0.000
arzausa,1,NAME-M,0.993,0.663,0.007,0.993,0.000,0.000,0.000
arzna,1,NAME-M,0.915,0.663,0.055,0.915,0.030,0.000,0.000
arznal,1,NAME-F,0.988,0.663,0.988,0.012,0.000,0.000,0.000
asatesa,1,NAME-M,0.997,0.663,0.001,0.997,0.003,0.000,0.000
asles,1,NAME-M,0.979,0.663,0.000,0.979,0.021,0.000,0.000
astres,1,NAME-M,0.951,0.663,0.000,0.951,0.049,0.000,0.000
asuthienas,1,NAME-M,0.970,0.663,0.000,0.970,0.030,0.000,0.000
atainei,2,NAME-F,0.995,0.663,0.995,0.005,0.000,0.000,0.000
atainial,3,NAME-F,0.987,0.663,0.987,0.013,0.000,0.000,0.000
atainialisa,1,NAME-F,0.962,0.663,0.962,0.038,0.000,0.000,0.000
atakus,3,NAME-M,0.968,0.663,0.000,0.968,0.032,0.000,0.000
atanial,1,NAME-F,0.973,0.663,0.973,0.026,0.000,0.000,0.000
ataris,1,NAME-M,0.935,0.663,0.003,0.935,0.062,0.000,0.000
ateinei,1,NAME-F,0.950,0.663,0.950,0.026,0.024,0.000,0.000
ateinialisa,1,NAME-F,0.959,0.663,0.959,0.041,0.000,0.000,0.000
atelinas,1,NAME-M,0.998,0.663,0.000,0.998,0.002,0.000,0.000
atesa,1,NAME-M,0.989,0.663,0.001,0.989,0.010,0.000,0.000
ateuze,1,OTHER,0.998,0.663,0.000,0.002,0.998,0.000,0.000
athens,1,OTHER,0.974,0.663,0.000,0.026,0.974,0.000,0.000
athnuial,1,NAME-F,0.969,0.663,0.969,0.030,0.001,0.000,0.000
athnusa,2,NAME-M,0.992,0.663,0.007,0.992,0.001,0.000,0.000
athununial,1,NAME-F,0.944,0.663,0.944,0.056,0.000,0.000,0.000
atinatial,1,NAME-F,0.987,0.663,0.987,0.013,0.000,0.000,0.000
atinatiasa,1,NAME-M,0.949,0.663,0.051,0.949,0.000,0.000,0.000
atius,1,NAME-M,0.932,0.663,0.000,0.932,0.067,0.000,0.000
atk,1,OTHER,0.946,0.663,0.001,0.053,0.946,0.000,0.000
atna,1,NAME-M,0.949,0.663,0.001,0.949,0.050,0.000,0.000
atnas,1,NAME-M,0.983,0.663,0.000,0.983,0.017,0.000,0.000
atneial,2,NAME-F,0.994,0.663,0.994,0.006,0.000,0.000,0.000
atneiesa,1,NAME-M,0.996,0.663,0.003,0.996,0.001,0.000,0.000
atre,1,OTHER,1.000,0.663,0.000,0.000,1.000,0.000,0.000
atreial,1,NAME-F,0.987,0.663,0.987,0.010,0.002,0.000,0.000
atrnas,1,NAME-M,0.991,0.663,0.000,0.991,0.009,0.000,0.000
atrste,1,OTHER,0.999,0.663,0.000,0.001,0.999,0.000,0.000
auinial,1,NAME-F,0.997,0.663,0.997,0.003,0.000,0.000,0.000
aulele,1,OTHER,0.981,0.663,0.000,0.019,0.981,0.000,0.000
aulepetrplancure,1,NAME-M,0.965,0.663,0.001,0.965,0.034,0.000,0.000
aulepulfnaperis,1,NAME-M,0.984,0.663,0.001,0.984,0.014,0.000,0.000
aules,3,NAME-M,0.983,0.663,0.000,0.983,0.017,0.000,0.000
aulesa,5,NAME-M,0.999,0.663,0.000,0.999,0.000,0.000,0.000
aulesi,1,NAME-M,0.952,0.663,0.006,0.952,0.042,0.000,0.000
aulesla,2,NAME-M,0.997,0.663,0.000,0.997,0.003,0.000,0.000
auletluties,1,NAME-M,0.929,0.663,0.000,0.929,0.071,0.000,0.000
auliai,1,NAME-F,0.967,0.663,0.967,0.016,0.017,0.000,0.000
aulias,1,NAME-M,0.997,0.663,0.000,0.997,0.003,0.000,0.000
aulnialisa,1,NAME-F,0.974,0.663,0.974,0.026,0.000,0.000,0.000
auntnial,1,NAME-F,0.986,0.663,0.986,0.014,0.000,0.000,0.000
auraeial,1,NAME-F,0.915,0.663,0.915,0.085,0.000,0.000,0.000
auriasa,1,NAME-M,0.939,0.663,0.060,0.939,0.001,0.000,0.000
ause,1,OTHER,0.903,0.663,0.000,0.096,0.903,0.000,0.000
authnial,1,NAME-F,0.966,0.663,0.966,0.034,0.000,0.000,0.000
avalnies,2,NAME-M,0.994,0.663,0.000,0.994,0.006,0.000,0.000
aveinial,1,NAME-F,0.960,0.663,0.960,0.040,0.000,0.000,0.000
avela,1,NAME-M,0.995,0.663,0.001,0.995,0.005,0.000,0.000
aveles,4,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
avelesfanpnas,1,NAME-M,0.999,0.663,0.000,0.999,0.001,0.000,0.000
avelnas,1,NAME-M,0.999,0.663,0.000,0.999,0.001,0.000,0.000
avelt,1,NAME-M,0.991,0.663,0.001,0.991,0.008,0.000,0.000
avenalc,1,NAME-M,0.942,0.663,0.018,0.942,0.040,0.000,0.000
aves,1,NAME-M,0.999,0.663,0.000,0.999,0.001,0.000,0.000
avi,1,NAME-M,0.915,0.663,0.014,0.915,0.071,0.000,0.000
aviiisiiivs,1,NAME-M,0.999,0.663,0.000,0.999,0.001,0.000,0.000
avile,1,NAME-M,0.964,0.663,0.000,0.964,0.036,0.000,0.000
aviles,2,NAME-M,0.997,0.663,0.000,0.997,0.003,0.000,0.000
avils,14,NAME-M,0.992,0.663,0.000,0.992,0.008,0.000,0.000
avle,5,NAME-M,0.939,0.663,0.000,0.939,0.061,0.000,0.000
avlekavinisech,1,NAME-M,0.993,0.663,0.000,0.993,0.007,0.000,0.000
avlena,1,NAME-M,0.918,0.663,0.000,0.918,0.082,0.000,0.000
avles,1,NAME-M,0.982,0.663,0.000,0.982,0.018,0.000,0.000
avlesla,1,NAME-M,0.999,0.663,0.000,0.999,0.001,0.000,0.000
avulnas,1,NAME-M,0.990,0.663,0.000,0.990,0.010,0.000,0.000
avun,1,OTHER,0.905,0.663,0.000,0.095,0.905,0.000,0.000
azlsnial,1,NAME-F,0.997,0.663,0.997,0.003,0.000,0.000,0.000
aztaviav,1,NAME-M,0.965,0.663,0.032,0.965,0.003,0.000,0.000
caceies,2,NAME-M,0.986,0.663,0.000,0.986,0.014,0.000,0.000
cacnies,1,NAME-M,0.995,0.663,0.000,0.995,0.004,0.000,0.000
caeasatnas,1,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
caes,2,NAME-M,0.993,0.663,0.000,0.993,0.007,0.000,0.000
cafatial,1,NAME-F,0.977,0.663,0.977,0.023,0.000,0.000,0.000
caiaialisa,1,NAME-F,0.944,0.663,0.944,0.056,0.000,0.000,0.000
caial,2,NAME-F,0.993,0.663,0.993,0.007,0.000,0.000,0.000
caias,2,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
caicnas,1,NAME-M,0.996,0.663,0.000,0.996,0.004,0.000,0.000
caiina,1,NAME-M,0.943,0.663,0.003,0.943,0.053,0.000,0.000
caiizirtlial,1,NAME-F,0.997,0.663,0.997,0.003,0.000,0.000,0.000
cailes,2,NAME-M,0.997,0.663,0.000,0.997,0.003,0.000,0.000
cainei,1,NAME-F,0.996,0.663,0.996,0.004,0.000,0.000,0.000
caines,1,NAME-M,0.992,0.663,0.000,0.992,0.007,0.000,0.000
cais,1,NAME-M,0.988,0.663,0.005,0.988,0.007,0.000,0.000
calatvrnal,1,NAME-F,0.908,0.663,0.908,0.091,0.000,0.000,0.000
calisnas,2,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
calisneial,2,NAME-F,1.000,0.663,1.000,0.000,0.000,0.000,0.000
calisnialc,1,NAME-F,0.903,0.663,0.903,0.093,0.004,0.000,0.000
calizamas,1,NAME-M,0.984,0.663,0.001,0.984,0.016,0.000,0.000
calpurnial,1,NAME-F,0.996,0.663,0.996,0.004,0.000,0.000,0.000
caluneial,1,NAME-F,0.998,0.663,0.998,0.002,0.000,0.000,0.000
calunial,1,NAME-F,0.996,0.663,0.996,0.004,0.000,0.000,0.000
camarinesa,1,NAME-M,0.973,0.663,0.027,0.973,0.000,0.000,0.000
cameial,1,NAME-F,0.999,0.663,0.999,0.001,0.000,0.000,0.000
camnas,3,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
campanes,1,NAME-M,0.982,0.663,0.000,0.982,0.018,0.000,0.000
campes,1,NAME-M,0.998,0.663,0.000,0.998,0.002,0.000,0.000
camthi,1,NAME-F,0.936,0.663,0.936,0.040,0.024,0.000,0.000
canatnei,1,NAME-F,0.996,0.663,0.996,0.004,0.000,0.000,0.000
canatneialisa,1,NAME-F,0.985,0.663,0.985,0.015,0.000,0.000,0.000
canei,1,NAME-F,0.995,0.663,0.995,0.004,0.000,0.000,0.000
canlas,1,NAME-M,0.999,0.663,0.000,0.999,0.001,0.000,0.000
cansaliesa,1,NAME-M,0.997,0.663,0.003,0.997,0.000,0.000,0.000
canthusa,1,NAME-M,0.990,0.663,0.010,0.990,0.000,0.000,0.000
canzna,2,NAME-M,0.971,0.663,0.019,0.971,0.010,0.000,0.000
canznasa,2,NAME-M,0.963,0.663,0.037,0.963,0.000,0.000,0.000
caperizamthicvaclarflererisacnisa,1,NAME-M,0.967,0.663,0.032,0.967,0.002,0.000,0.000
capevanes,1,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
capi,3,NAME-M,0.953,0.663,0.044,0.953,0.003,0.000,0.000
caplthu,1,NAME-M,0.990,0.663,0.000,0.990,0.010,0.000,0.000
capnal,1,NAME-F,0.957,0.663,0.957,0.043,0.000,0.000,0.000
capnas,1,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
capnial,1,NAME-F,0.992,0.663,0.992,0.008,0.000,0.000,0.000
capnpasa,1,NAME-M,0.981,0.663,0.016,0.981,0.004,0.000,0.000
caprasis,1,NAME-M,0.987,0.663,0.001,0.987,0.012,0.000,0.000
caprinal,1,NAME-F,0.985,0.663,0.985,0.015,0.000,0.000,0.000
caprunas,1,NAME-M,0.991,0.663,0.000,0.991,0.009,0.000,0.000
capsneial,1,NAME-F,0.996,0.663,0.996,0.004,0.000,0.000,0.000
capznas,3,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
carcnas,1,NAME-M,0.999,0.663,0.000,0.999,0.001,0.000,0.000
carcu,1,NAME-M,0.970,0.663,0.024,0.970,0.006,0.000,0.000
carcunias,1,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
carcus,2,NAME-M,0.999,0.663,0.001,0.999,0.000,0.000,0.000
carcusa,1,NAME-M,0.941,0.663,0.059,0.941,0.000,0.000,0.000
carnasa,2,NAME-M,0.952,0.663,0.048,0.952,0.000,0.000,0.000
carnial,1,NAME-F,0.997,0.663,0.997,0.003,0.000,0.000,0.000
carpna,1,NAME-M,0.941,0.663,0.038,0.941,0.020,0.000,0.000
carpnatial,1,NAME-F,0.996,0.663,0.996,0.004,0.000,0.000,0.000
carsnas,1,NAME-M,0.999,0.663,0.000,0.999,0.001,0.000,0.000
carta,2,NAME-M,0.932,0.663,0.024,0.932,0.044,0.000,0.000
caseform,1,OTHER,0.902,0.663,0.040,0.058,0.902,0.000,0.000
casprial,1,NAME-F,0.988,0.663,0.988,0.012,0.000,0.000,0.000
casthnialth,1,NAME-M,0.968,0.663,0.013,0.968,0.019,0.000,0.000
casuntinial,1,NAME-F,0.989,0.663,0.989,0.011,0.000,0.000,0.000
cathas,1,NAME-M,0.994,0.663,0.000,0.994,0.006,0.000,0.000
cathesan,1,OTHER,0.938,0.663,0.002,0.060,0.938,0.000,0.000
catrnial,1,NAME-F,0.996,0.663,0.996,0.004,0.000,0.000,0.000
caunal,1,NAME-F,0.974,0.663,0.974,0.026,0.000,0.000,0.000
caunial,1,NAME-F,0.996,0.663,0.996,0.004,0.000,0.000,0.000
caurias,1,NAME-M,0.999,0.663,0.000,0.999,0.001,0.000,0.000
causlinial,1,NAME-F,0.992,0.663,0.992,0.008,0.000,0.000,0.000
causliniesa,1,NAME-M,0.999,0.663,0.001,0.999,0.000,0.000,0.000
cavathas,6,NAME-M,1.000,0.663,0.000,1.000,0.000,0.000,0.000
caviesfuzecena,1,NAME-M,0.934,0.663,0.000,0.934,0.066,0.000,0.000
cavilial,1,NAME-F,0.984,0.663,0.984,0.016,0.000,0.000,0.000
cavinal,1,NAME-F,0.956,0.663,0.956,0.044,0.000,0.000,0.000
cavis,1,NAME-M,0.988,0.663,0.001,0.988,0.011,0.000,0.000
cavla,1,NAME-M,0.983,0.663,0.011,0.983,0.007,0.000,0.000
cavslinis,1,NAME-M,0.996,0.663,0.004,0.996,0.001,0.000,0.000
cavsnas,1,NAME-M,0.998,0.663,0.000,0.998,0.002,0.000,0.000
cavthas,2,NAME-M,0.998,0.663,0.000,0.998,0.002,0.000,0.000
cazlaniez,1,NAME-M,0.942,0.663,0.049,0.942,0.009,0.000,0.000
cecham,1,OTHER,0.997,0.663,0.001,0.003,0.997,0.000,0.000
cechase,2,OTHER,0.935,0.663,0.000,0.064,0.935,0.000,0.000
cecnas,1,NAME-M,0.962,0.663,0.000,0.962,0.038,0.000,0.000
cecunias,1,NAME-M,0.999,0.663,0.000,0.999,0.001,0.000,0.000
cecus,1,NAME-M,0.986,0.663,0.001,0.986,0.013,0.000,0.000
cehen,1,OTHER,0.957,0.663,0.005,0.038,0.957,0.000,0.000
ceicna,4,NAME-M,0.964,0.663,0.002,0.964,0.034,0.000,0.000
ceicnaial,1,NAME-F,0.999,0.663,0.999,0.001,0.000,0.000,0.000
ceicnas,1,NAME-M,0.996,0.663,0.000,0.996,0.004,0.000,0.000
ceicnei,1,NAME-F,0.999,0.663,0.999,0.001,0.000,0.000,0.000
ceineial,1,NAME-F,0.998,0.663,0.998,0.002,0.000,0.000,0.000
ceisaries,1,NAME-M,0.989,0.663,0.000,0.989,0.011,0.000,0.000
ceisial,3,NAME-F,0.998,0.663,0.998,0.002,0.000,0.000,0.000
ceisina,1,NAME-M,0.959,0.663,0.008,0.959,0.033,0.000,0.000
ceisinal,1,NAME-F,0.998,0.663,0.998,0.002,0.000,0.000,0.000
ceistalus,1,NAME-M,0.946,0.663,0.004,0.946,0.050,0.000,0.000
celati,1,NAME-F,0.924,0.663,0.924,0.034,0.042,0.000,0.000
