text,source_id,city,date_from,date_to,translation,language,provenance,note
ita tmia icac he/ramašva vatieχe | unial astres θemia/sa meχ θuta θefa/riei velianas sal | cluvenias turu/ce munistas θuvas | tameresca ilacve | tulerase nac ci avi/l χar var tesiamet | ale ilacve alšase | nac atranes zila | cal sel eita la acnašv/ers itanim heram/ve avil eniaca pul/umχva,Pyrgi A,Pyrgi,500,500,,etr,"en.wikipedia.org/wiki/Pyrgi_Tablets, транслитерация по Bonfante, wikitext снят 2026-07-08","золотая пластина A (этрусская, длинная); чтения оспариваются; переносы источника: / внутри слова, | между словами"
nac θefarie vel/iiunas θamuce | cleva etanal | masan tiur | unias šelace v/acal tmial a/vilχval amuc/e pulumχv/a snuiaφ,Pyrgi B,Pyrgi,500,500,,etr,"en.wikipedia.org/wiki/Pyrgi_Tablets, транслитерация по Bonfante, wikitext снят 2026-07-08","золотая пластина B (этрусская, короткая); чтения оспариваются"
