titulus,rix_et,dating_latin,has_inscriptio,in_corpus_ciep
20196,Ad2.47,IV - ineunti III saec. a.Ch.n.,1,0
20197,,III saec. a.Ch.n.,1,1
20198,,II - ineunti I saec. a.Ch.n.,1,0
20199,,II saec. a.Ch.n.,0,0
20200,,II saec. a.Ch.n.,0,0
20201,,III saec. a.Ch.n.,1,0
20202,,,0,0
20203,,,0,0
20204,,V saec. a.Ch.n.,1,0
20205,,,0,0
20206,,,0,0
20207,,,0,0
20208,,,1,0
20209,,VI saec. a.Ch.n.,0,0
20210,,,0,0
20211,,,0,0
20212,,VI saec. a.Ch.n.,1,0
20214,Ad2.8,,1,0
20215,,VI - ineunti V saec. a.Ch.n.,0,0
20216,,,0,0
20217,,,0,0
20218,,,0,0
20219,,,1,0
20220,,,1,0
20221,,,0,0
20222,,,0,0
20223,,,0,0
20224,,,1,0
20225,,,0,0
20226,,,0,0
20227,,,0,0
20228,,,0,0
20229,,VI - ineunti V saec. a.Ch.n.,0,0
20230,,VI-V saec. a.Ch.n.,0,0
20231,,VI - ineunti V saec. a.Ch.n.,1,0
20232,,,1,0
20233,,IV saec. a.Ch.n.,0,0
20234,,,0,0
20235,,IV saec. a.Ch.n.,1,0
20236,Ad2.68,,1,1
20237,,V saec. a.Ch.n.,0,0
20238,,,0,0
20239,,,0,0
20240,,II saec. a.Ch.n.,1,0
20241,,,0,0
20242,,,0,0
20243,,,0,0
20244,,,1,0
20245,,,0,0
20246,,I saec. a.Ch.n.,0,0
20247,,IV - ineunti III saec. a.Ch.n.,0,1
20248,,IV - III saec. a.Ch.n.,0,0
20249,,,1,0
20250,,VI-V saec. a.Ch.n.,0,0
20251,,VI-V saec. a.Ch.n.,1,0
20252,,VI saec. a.Ch.n.,0,0
20253,Ad2.35,,1,0
20254,,,1,0
20255,,IV - medio III saec. a.Ch.n.,0,0
20256,,IV saec. a.Ch.n.,0,0
20257,Ad2.41,,1,0
20258,"Ad
2.64",,1,0
20259,,III saec. a.Ch.n.,0,0
20260,,,1,0
20261,,,0,0
20262,,,0,0
20263,,III saec. a.Ch.n.,0,0
20264,Ad2.28,III saec. a.Ch.n.,1,1
20265,,,0,1
20266,,,0,0
20267,,VI-IV saec. a.Ch.n.,0,0
20268,,,1,0
20269,,,0,1
20270,,,0,0
20271,,,0,0
20272,,,1,0
20273,Ad2.85,IV - III saec. a.Ch.n.,1,0
20274,,III saec. a.Ch.n.,0,0
20275,,II saec. a.Ch.n.,0,0
20276,,medio III saec. a.Ch.n.,0,0
20277,,II saec. a.Ch.n.,1,1
20278,,,0,0
20279,,II saec. a.Ch.n.,1,1
