entry,text,flags,shared_with_ciep,containment
605,cusine,,0,
606,larθ - vel<χ>ite - vi<pi>nal,,0,
607,capnal,,1,1.00
608,vel <p>eti<n>a[te] a- --,,1,
609,sana vipinei,ocr-fixed,1,1.00
610,fastia > lefaria,ocr?,0,
611,arza . uvie - arfa,ocr?,0,
612,ve<-->-ieti . au,,0,
613,aule • an[ei]<n> 1,,0,
614,vel • cafate larθalisa,ocr-fixed,1,0.91
615,vel petinate,,0,
616,larθi > velesial,,0,
617,vel i ane,,0,
618,larθ vipi-- 000,ocr-fixed,0,
721,1 larθ • meties • suθina,ocr-fixed,0,
803,1 a i e<a>,,1,
954,fasti > alfn-,,0,
955,<ne>pvr • papasla lavti,,0,
961,af • marcni • herme • plautira- -s • clan,ocr?,0,
962,af - marcni i herme > pla- -vtrias,ocr?,1,0.91
963,θana nurziunia,,1,1.00
964,af • ucumzna •,ocr?,0,
965,ar i tite . umranal,,0,
966,aθ - tite . ae > velsial,,0,
967,lars - tite - arnbal i velsial,,0,
968,laθi • calia,,0,
969,θania • tans i ne i,,0,
970,lars • causlin- i aules i vetnalis- -a .,,0,
971,θana . turzunia > causlinisa,,0,
972,θana • vetui . velus • causlinissa,,0,
973,/presn<t>e,,0,
974,ve<l> . tutna - larθialisa,,0,
975,arnθ . hele i velug . -remznal,ocr-fixed,1,
976,/ . velsia . trepunias . sec •,,0,
977,lθ • cae • lθ • eple • hast isa,ocr-fixed,1,0.86
978,nae ci cu peθnal netsvis,,1,0.93
979,arnθ veθ-------rs,,0,
982,{c • of ill i . c • f,ocr?,1,0.89
1012,/- • fle[c] fania • tit - • sveas • seiantial • --,ocr?,0,
1018,aθ • purni • titias,,0,
1020,larθi - saet- -nei - fansisa,ocr?,1,1.00
1021,larθia i saθnei > θansisa >,ocr-fixed,1,0.83
1022,<v>l - saθn<a>,,0,
1023,vel saθna,,0,
1024,vel - saona aa------,ocr?,0,
1025,velχrasa,,1,1.00
1026,θana • velχrei • ut i esa,ocr-fixed,1,1.00
1027,θana - velχrei - utie<s>a .,ocr-fixed,0,
1028,--χ-- • fansi • titia,ocr?,0,
1029,/auχu <k><>o<> s- <> a,ocr?,1,0.78
1030,larθ - larste - pacre,,0,
1031,larθ larst--- -,,0,
1032,larza • <l>arste • <l>arθalisa,ocr-fixed,0,
1033,vl • tetina • ve/,,0,
1034,lθ -- t<et>ina . vl - cul,,0,
1035,lθ - tetina -- seiantial,,0,
1036,aθ • cumer<e> • aθ veacial,,0,
1037,lθ - cumere > aθ - veacial,,1,1.00
1038,aθ • cumere • lθ latin ial,,1,1.00
1039,arnθ - cumere - arnθ-l tetinal,,1,1.00
1040,lar > cumere - arθl > tetinal,,1,0.93
1041,aθ • cumelrle----,,0,
1042,aθ i umrana - aθ > varna,,0,
1043,vl - umrana - tle,,0,
1044,larti • umranei • se- -ncusa,,1,0.26
1045,eania - seianti i lθ - <cu>merunia,,1,0.67
1046,en [emna - sati - cumerunia [mar]cnisa . tlesnal - s<e>[c],,1,
1162,sana - arntnei - perisalisa,,1,1.00
1163,la - pulfna . la i sei<an>tial,,1,1.00
1164,θania - seianti . perisal,,0,
